id			last val		val acc		test acc
0.88_0.18_2.86e-02_7.78e-07__34			0.161979		0.570000		0.563333
0.62_0.20_9.22e-02_5.18e-05__37			0.087900		0.771667		0.743333
0.48_0.55_2.73e+00_7.37e-05__77			0.093536		0.801667		0.783333
0.84_0.16_1.80e+00_2.74e-04__291			0.066032		0.850000		0.828333
0.10_0.41_6.88e-02_5.56e-05__61			0.129420		0.583333		0.571667
0.72_0.44_3.81e-02_3.48e-06__11			0.081103		0.786667		0.745000
0.80_0.76_2.15e-01_6.04e-05__287			0.085857		0.775000		0.768333
0.41_0.35_6.67e-02_1.16e-05__44			0.094191		0.741667		0.706667
0.58_0.61_1.34e-01_3.86e-06__17			0.085578		0.790000		0.755000
0.58_0.17_4.91e-01_7.52e-05__374			0.091752		0.770000		0.755000
0.22_0.35_8.13e-01_6.05e-04__52			0.151757		0.573333		0.556667
0.50_0.65_1.53e-01_9.25e-06__438			0.092851		0.760000		0.736667
0.37_0.37_1.99e-01_9.00e-06__282			0.092217		0.766667		0.740000
0.63_0.29_2.82e-01_1.93e-04__75			0.093818		0.780000		0.763333
0.66_0.35_3.20e-02_8.22e-06__33			0.085992		0.778333		0.746667
0.28_0.29_2.54e-01_2.53e-04__367			0.108665		0.643333		0.641667
0.30_0.22_3.87e+00_1.62e-03__280			0.187105		0.566667		0.538333
0.76_0.50_6.11e-02_1.01e-06__286			0.110089		0.648333		0.645000
0.29_0.61_1.04e+00_2.08e-05__258			0.101526		0.676667		0.675000
0.28_0.46_4.39e-01_8.11e-06__297			0.095812		0.748333		0.738333
0.19_0.54_5.67e-01_2.14e-05__66			0.109386		0.638333		0.643333
0.62_0.50_2.56e-01_2.60e-05__283			0.084765		0.780000		0.751667
0.48_0.32_1.53e-01_3.80e-06__371			0.086389		0.776667		0.746667
0.38_0.59_1.87e+00_3.47e-05__13			0.098741		0.765000		0.746667
0.88_0.89_2.26e-02_1.46e-05__143			0.081208		0.786667		0.753333
0.14_0.37_3.95e-02_1.51e-06__285			0.133763		0.580000		0.565000
0.81_0.75_2.42e-02_1.02e-06__373			0.094194		0.768333		0.746667
0.45_0.45_3.78e-01_6.25e-06__254			0.092979		0.748333		0.720000
0.64_0.59_4.53e-02_5.74e-07__301			0.113242		0.673333		0.673333
0.20_0.76_4.23e+00_3.43e-04__25			0.156266		0.573333		0.558333
0.58_0.88_2.38e+00_3.63e-05__76			0.078370		0.803333		0.780000
0.37_0.24_3.26e+00_2.08e-03__284			0.218547		0.541667		0.513333
0.12_0.63_4.48e-02_7.64e-07__444			0.148219		0.580000		0.570000
0.84_0.58_2.10e-02_5.75e-07__211			0.105123		0.666667		0.676667
0.67_0.72_4.17e+00_1.22e-04__50			0.099833		0.796667		0.783333
0.38_0.61_2.38e+00_5.46e-04__14			0.148878		0.573333		0.558333
0.46_0.50_7.78e-01_4.24e-04__300			0.139382		0.561667		0.558333
0.33_0.37_1.37e-02_2.47e-07__363			0.171916		0.540000		0.513333
0.75_0.40_8.29e-02_9.48e-07__296			0.110810		0.651667		0.643333
