id			last val		val acc		test acc
0.54_0.54_1.97e+00_1.29e-04__1469			0.108441		0.800000		0.760000
0.48_0.65_2.36e-02_1.21e-06__2360			0.128812		0.651667		0.610000
0.51_0.72_2.52e+00_3.44e-04__1266			0.112190		0.778333		0.755000
0.32_0.64_4.31e-02_3.41e-05__543			0.120320		0.785000		0.753333
0.53_0.16_3.95e-02_1.59e-05__1345			0.113569		0.741667		0.721667
0.47_0.37_2.23e+00_4.18e-04__1837			0.117716		0.801667		0.770000
0.60_0.33_2.79e+00_5.56e-05__2477			0.106246		0.765000		0.731667
0.14_0.48_2.77e+00_3.11e-04__1439			0.134360		0.726667		0.700000
0.74_0.59_1.32e-01_4.59e-06__1381			0.104177		0.791667		0.753333
0.78_0.37_1.43e-02_1.07e-05__815			0.109037		0.786667		0.755000
0.62_0.35_1.98e-01_1.41e-05__2336			0.109286		0.783333		0.743333
0.19_0.49_4.67e+00_1.33e-04__2098			0.129243		0.741667		0.720000
0.25_0.16_9.09e-01_8.37e-04__2026			0.122714		0.773333		0.731667
0.58_0.17_5.81e-01_6.63e-05__1725			0.115058		0.766667		0.731667
0.29_0.60_1.61e-02_1.88e-07__651			0.172383		0.646667		0.628333
0.75_0.29_4.20e+00_3.17e-03__257			0.159015		0.641667		0.626667
0.79_0.27_5.85e-01_1.65e-04__764			0.106560		0.820000		0.791667
0.60_0.29_4.29e-02_5.95e-07__252			0.155207		0.618333		0.571667
0.36_0.37_2.52e-01_5.13e-06__892			0.114008		0.778333		0.748333
0.51_0.70_2.39e-02_1.97e-05__146			0.113203		0.793333		0.753333
0.46_0.23_3.58e-01_8.14e-05__1779			0.116972		0.775000		0.726667
0.67_0.53_2.57e-02_1.99e-05__418			0.107443		0.791667		0.750000
0.63_0.45_2.69e-02_7.21e-07__1812			0.134123		0.650000		0.656667
0.68_0.23_6.23e-02_1.14e-05__227			0.108627		0.786667		0.753333
0.73_0.31_3.86e-02_1.82e-06__1827			0.128801		0.613333		0.623333
0.24_0.74_6.46e-02_5.51e-06__31			0.125740		0.726667		0.701667
0.51_0.33_8.24e-02_2.34e-06__170			0.114395		0.773333		0.753333
0.18_0.89_3.03e-02_6.83e-06__1324			0.133492		0.633333		0.616667
0.33_0.37_1.03e+00_3.04e-04__68			0.119797		0.778333		0.731667
0.33_0.12_5.92e-02_4.27e-05__29			0.123462		0.736667		0.718333
0.79_0.85_2.45e-02_2.12e-06__1949			0.104201		0.796667		0.756667
0.63_0.17_3.40e-01_3.23e-04__913			0.115858		0.763333		0.733333
0.59_0.44_3.49e-01_1.76e-05__797			0.110593		0.780000		0.743333
0.63_0.58_3.51e-01_2.63e-04__1421			0.114004		0.795000		0.765000
0.53_0.44_3.67e-02_1.89e-06__2353			0.114854		0.760000		0.731667
0.85_0.39_1.48e+00_4.77e-04__2065			0.094376		0.830000		0.820000
0.34_0.59_1.01e-02_9.13e-07__412			0.140662		0.621667		0.606667
0.66_0.62_1.70e+00_9.13e-05__498			0.095946		0.828333		0.803333
0.33_0.80_9.98e-01_1.24e-04__578			0.119925		0.778333		0.735000
0.33_0.29_2.45e-01_8.53e-06__2087			0.117108		0.770000		0.748333
0.11_0.63_1.85e+00_3.38e-05__2574			0.139018		0.705000		0.670000
0.29_0.80_3.12e+00_1.67e-03__2196			0.171306		0.601667		0.595000
0.22_0.37_1.21e-02_4.95e-06__1534			0.133129		0.570000		0.551667
0.72_0.88_1.06e-02_3.58e-07__962			0.144172		0.656667		0.643333
0.48_0.50_2.08e-01_2.04e-05__1497			0.112414		0.775000		0.733333
0.51_0.46_1.67e-01_2.68e-06__2258			0.107332		0.776667		0.755000
0.53_0.37_4.00e-01_2.38e-04__967			0.114663		0.790000		0.748333
0.69_0.67_2.48e-01_2.48e-06__73			0.105108		0.791667		0.748333
0.37_0.22_1.29e-02_3.46e-07__891			0.179948		0.338333		0.328333
0.87_0.75_6.04e-02_7.92e-07__1429			0.115291		0.750000		0.728333
0.75_0.89_5.40e-02_2.89e-06__2305			0.105403		0.800000		0.760000
0.34_0.69_7.22e-01_2.30e-05__166			0.117512		0.768333		0.721667
0.41_0.34_2.33e+00_5.47e-04__2566			0.123503		0.790000		0.761667
0.47_0.51_2.93e+00_4.02e-04__1424			0.124394		0.790000		0.751667
0.36_0.67_3.67e-02_8.34e-07__1414			0.137377		0.613333		0.598333
0.45_0.80_1.61e+00_1.54e-03__1998			0.166084		0.618333		0.601667
0.87_0.52_2.36e+00_1.50e-03__2509			0.099054		0.826667		0.780000
0.59_0.63_6.11e-01_1.03e-05__1062			0.108303		0.801667		0.761667
0.14_0.21_1.30e+00_2.40e-05__888			0.134448		0.671667		0.655000
0.14_0.49_3.71e-01_2.91e-05__497			0.136297		0.728333		0.698333
0.12_0.19_2.63e+00_1.83e-04__278			0.137094		0.686667		0.648333
0.80_0.50_3.92e+00_6.60e-05__1609			0.101588		0.818333		0.795000
0.46_0.37_4.80e-02_6.27e-07__2084			0.147424		0.606667		0.596667
0.53_0.53_1.01e+00_3.77e-04__836			0.117528		0.758333		0.736667
0.33_0.33_7.19e-02_9.39e-07__737			0.145405		0.575000		0.576667
0.87_0.90_2.75e+00_7.41e-05__1051			0.100307		0.795000		0.776667
0.43_0.59_8.29e-02_5.33e-05__78			0.113669		0.770000		0.733333
0.88_0.84_1.48e+00_2.57e-04__1372			0.096064		0.828333		0.811667
0.32_0.43_2.23e+00_1.01e-03__1236			0.134546		0.665000		0.646667
0.48_0.50_6.63e-02_3.30e-06__2345			0.115305		0.771667		0.745000
0.41_0.13_2.75e-01_6.45e-05__714			0.116047		0.773333		0.735000
0.85_0.86_1.52e-01_9.32e-06__1894			0.103151		0.798333		0.758333
0.35_0.25_1.68e+00_7.69e-04__2179			0.120148		0.773333		0.731667
0.69_0.86_1.30e-02_1.20e-05__1947			0.108514		0.791667		0.755000
0.29_0.90_4.20e+00_2.12e-03__30			0.178705		0.593333		0.591667
0.22_0.29_6.46e-01_1.37e-04__1213			0.121615		0.771667		0.731667
0.63_0.63_7.83e-01_1.57e-04__2039			0.114099		0.796667		0.750000
0.13_0.12_9.15e-01_4.06e-05__435			0.136641		0.663333		0.623333
0.37_0.11_3.60e+00_1.23e-03__2440			0.136642		0.728333		0.708333
0.90_0.36_1.86e+00_1.41e-03__807			0.097104		0.841667		0.808333
0.50_0.72_2.36e+00_3.34e-04__2204			0.111039		0.788333		0.760000
0.79_0.55_3.91e-02_1.18e-05__1387			0.106415		0.791667		0.756667
0.63_0.71_3.40e-01_4.05e-06__798			0.110352		0.780000		0.740000
0.60_0.61_2.81e-02_1.01e-06__652			0.124838		0.678333		0.666667
0.22_0.71_4.02e+00_5.25e-05__1695			0.128636		0.751667		0.725000
0.64_0.49_3.32e+00_3.09e-04__1848			0.105450		0.775000		0.741667
0.13_0.56_2.52e+00_5.11e-05__324			0.133071		0.736667		0.713333
0.32_0.74_4.86e-02_2.16e-05__702			0.117848		0.785000		0.755000
0.30_0.41_1.47e-02_2.96e-06__952			0.121348		0.716667		0.680000
0.55_0.56_6.11e-01_8.97e-05__33			0.109397		0.798333		0.756667
0.12_0.67_4.80e-02_7.41e-06__154			0.140973		0.566667		0.555000
0.18_0.25_8.71e-02_7.71e-06__230			0.136508		0.611667		0.585000
0.42_0.57_1.91e-01_3.69e-06__536			0.112344		0.771667		0.753333
0.15_0.11_1.92e+00_1.88e-03__1829			0.140092		0.685000		0.653333
0.29_0.83_2.16e-02_3.29e-07__2131			0.160327		0.610000		0.606667
0.66_0.86_1.23e+00_1.55e-05__2296			0.100944		0.808333		0.780000
0.59_0.86_1.04e+00_6.73e-04__2314			0.128315		0.688333		0.683333
0.25_0.25_1.14e-01_9.80e-06__2466			0.130977		0.611667		0.593333
