id			last val		val acc		test acc
0.19_0.40_4.79e+00_7.64e-04__48			0.145520		0.631667		0.633333
0.53_0.90_4.00e-02_1.63e-06__254			0.111461		0.770000		0.750000
0.65_0.28_4.03e-01_2.73e-05__67			0.111172		0.776667		0.735000
0.63_0.63_5.00e+00_3.71e-03__77			0.202002		0.675000		0.638333
0.52_0.79_2.70e+00_1.78e-03__69			0.174909		0.591667		0.570000
0.24_0.46_9.09e-01_3.42e-04__180			0.122335		0.770000		0.728333
0.43_0.59_8.29e-02_5.33e-05__78			0.114959		0.775000		0.730000
0.31_0.56_4.37e-02_3.76e-06__71			0.115583		0.770000		0.741667
0.49_0.35_2.36e+00_8.95e-04__147			0.133920		0.730000		0.698333
0.26_0.31_1.88e+00_1.24e-04__135			0.120630		0.765000		0.731667
0.77_0.50_1.54e-02_4.84e-07__100			0.169675		0.523333		0.513333
0.69_0.67_2.48e-01_2.48e-06__73			0.107104		0.790000		0.750000
0.24_0.63_2.84e-02_2.06e-05__183			0.123886		0.745000		0.730000
0.24_0.74_6.46e-02_5.51e-06__31			0.123786		0.738333		0.711667
0.61_0.83_9.93e-02_2.24e-05__195			0.108999		0.788333		0.750000
0.31_0.71_2.63e+00_1.65e-04__38			0.120537		0.776667		0.740000
0.30_0.44_5.96e-01_2.72e-04__193			0.119248		0.776667		0.743333
0.57_0.54_5.26e-02_5.31e-07__250			0.150682		0.696667		0.675000
0.12_0.23_6.14e-01_1.89e-05__105			0.140948		0.573333		0.558333
0.62_0.75_1.18e-02_2.49e-06__43			0.109985		0.778333		0.750000
0.61_0.50_1.94e-01_3.59e-06__118			0.110676		0.788333		0.751667
0.44_0.12_1.54e-02_9.04e-06__59			0.135118		0.583333		0.561667
0.27_0.48_1.23e-01_8.50e-06__104			0.117465		0.780000		0.746667
0.17_0.28_1.79e-02_6.03e-07__138			0.180332		0.338333		0.328333
0.63_0.29_1.12e-02_2.79e-07__115			0.173965		0.338333		0.328333
0.25_0.58_3.40e+00_4.17e-04__129			0.133446		0.680000		0.665000
0.32_0.18_8.09e-02_5.66e-06__260			0.128415		0.641667		0.636667
0.18_0.68_2.29e-02_4.94e-07__64			0.162170		0.583333		0.576667
0.68_0.23_6.23e-02_1.14e-05__227			0.109493		0.785000		0.748333
0.52_0.37_2.40e-01_1.06e-05__112			0.111810		0.788333		0.750000
0.39_0.34_3.83e-02_2.32e-06__225			0.117788		0.763333		0.736667
0.70_0.82_5.96e-02_1.31e-05__117			0.105653		0.793333		0.751667
0.29_0.47_7.78e-01_3.20e-05__113			0.120014		0.771667		0.728333
0.78_0.40_3.69e-01_9.38e-05__109			0.106474		0.795000		0.751667
0.55_0.69_9.39e-02_1.12e-06__79			0.122689		0.731667		0.696667
0.74_0.63_2.17e-01_9.20e-06__116			0.103742		0.806667		0.781667
0.21_0.46_9.80e-01_1.01e-04__65			0.122599		0.771667		0.733333
0.54_0.35_2.11e-02_7.01e-06__74			0.110847		0.790000		0.758333
0.44_0.60_7.27e-01_5.41e-04__107			0.124164		0.726667		0.698333
0.76_0.51_7.31e-01_4.32e-04__44			0.107941		0.816667		0.803333
0.67_0.87_1.31e-02_1.07e-05__63			0.108344		0.791667		0.760000
0.32_0.69_1.04e-01_3.49e-06__126			0.119429		0.756667		0.735000
0.57_0.15_1.13e+00_2.15e-05__265			0.121273		0.770000		0.740000
0.52_0.50_5.56e-01_2.58e-05__111			0.114533		0.788333		0.755000
0.36_0.86_5.99e-01_2.19e-05__61			0.115406		0.773333		0.728333
0.54_0.44_2.51e-02_1.32e-05__108			0.110826		0.785000		0.756667
0.77_0.69_5.92e-01_9.05e-06__35			0.100098		0.808333		0.788333
0.60_0.62_9.21e-01_2.22e-04__196			0.108706		0.800000		0.768333
0.48_0.86_3.66e+00_1.46e-04__60			0.125007		0.735000		0.708333
0.45_0.53_1.01e+00_7.88e-04__37			0.128943		0.705000		0.685000
0.30_0.60_1.09e-01_1.17e-05__102			0.119539		0.766667		0.745000
0.83_0.16_1.54e-01_2.30e-05__218			0.107010		0.795000		0.750000
0.57_0.71_1.31e-02_9.22e-06__243			0.112223		0.785000		0.751667
0.70_0.63_1.02e-01_2.35e-05__249			0.110602		0.793333		0.756667
0.78_0.58_9.62e-01_8.39e-05__24			0.095533		0.826667		0.796667
0.11_0.23_9.92e-01_1.48e-04__214			0.140443		0.708333		0.693333
0.33_0.46_1.84e-01_6.34e-05__36			0.121150		0.771667		0.736667
0.55_0.31_6.54e-02_2.77e-06__240			0.115533		0.753333		0.725000
0.52_0.16_1.66e+00_1.28e-04__110			0.117228		0.748333		0.700000
0.68_0.78_1.23e-01_1.41e-06__274			0.107972		0.773333		0.750000
0.71_0.40_1.49e-02_6.33e-07__34			0.164432		0.538333		0.506667
0.75_0.88_2.81e-01_1.69e-05__127			0.101866		0.813333		0.790000
0.47_0.51_1.52e-02_5.80e-07__45			0.156875		0.565000		0.561667
0.88_0.63_5.67e-01_6.27e-06__189			0.102333		0.798333		0.765000
0.29_0.33_2.77e-02_1.74e-05__314			0.120235		0.756667		0.730000
0.22_0.81_7.13e-01_3.15e-05__50			0.123174		0.770000		0.738333
0.48_0.10_8.24e-02_1.01e-06__221			0.171431		0.511667		0.486667
0.88_0.74_1.59e+00_6.27e-04__142			0.092828		0.850000		0.821667
0.75_0.31_8.18e-01_1.18e-04__202			0.100976		0.825000		0.801667
0.60_0.39_4.42e-02_9.68e-07__114			0.133262		0.636667		0.593333
0.32_0.29_1.57e+00_3.68e-04__27			0.120622		0.778333		0.731667
0.35_0.68_1.08e-01_2.05e-06__251			0.124770		0.705000		0.660000
0.14_0.69_1.21e+00_4.48e-05__203			0.130106		0.756667		0.738333
0.55_0.56_6.11e-01_8.97e-05__33			0.110863		0.793333		0.753333
0.38_0.67_5.74e-01_3.10e-05__241			0.115375		0.776667		0.731667
0.78_0.43_4.20e-01_7.23e-05__66			0.101091		0.806667		0.768333
0.68_0.27_4.64e-01_4.83e-05__200			0.108766		0.783333		0.741667
0.67_0.67_8.71e-02_1.32e-06__137			0.112304		0.773333		0.748333
0.22_0.41_3.46e+00_5.62e-05__258			0.126873		0.743333		0.710000
0.31_0.20_3.53e-01_1.58e-04__101			0.119626		0.775000		0.733333
0.50_0.54_3.62e-02_2.70e-06__301			0.112527		0.766667		0.746667
0.35_0.80_2.01e-02_4.18e-07__222			0.154406		0.573333		0.570000
0.26_0.71_1.24e+00_4.87e-04__130			0.128643		0.698333		0.676667
0.61_0.21_1.75e+00_7.96e-05__72			0.104730		0.785000		0.746667
0.41_0.71_1.56e-01_8.45e-06__22			0.120730		0.761667		0.735000
0.42_0.40_7.18e-01_5.79e-05__259			0.116870		0.766667		0.725000
0.33_0.79_3.08e-02_1.39e-06__273			0.122092		0.736667		0.711667
0.83_0.35_5.36e-02_1.03e-05__76			0.104838		0.795000		0.756667
0.82_0.79_1.54e+00_1.51e-03__212			0.140817		0.723333		0.683333
0.75_0.29_4.20e+00_3.17e-03__257			0.166007		0.691667		0.658333
0.79_0.87_7.46e-02_7.44e-06__270			0.102132		0.795000		0.753333
0.58_0.61_5.64e-02_1.19e-05__62			0.115137		0.773333		0.750000
0.53_0.87_3.08e+00_4.28e-04__192			0.123708		0.801667		0.780000
0.34_0.12_1.17e-01_2.04e-05__106			0.119109		0.725000		0.711667
0.89_0.33_1.53e-02_2.06e-06__53			0.110783		0.741667		0.721667
0.21_0.71_4.05e-02_6.94e-06__182			0.127725		0.708333		0.666667
0.71_0.58_6.71e-02_2.51e-06__103			0.103315		0.776667		0.755000
0.33_0.37_1.03e+00_3.04e-04__68			0.120440		0.778333		0.736667
0.46_0.58_4.91e+00_1.61e-03__26			0.163827		0.643333		0.615000
0.58_0.83_1.67e-02_1.72e-07__70			0.193822		0.273333		0.273333
0.36_0.16_7.23e-02_1.17e-06__140			0.177505		0.428333		0.385000
0.17_0.75_4.59e-01_1.41e-05__256			0.126331		0.758333		0.740000
0.29_0.42_1.11e+00_7.80e-05__319			0.119242		0.771667		0.728333
0.16_0.51_1.22e+00_2.05e-05__143			0.129367		0.746667		0.723333
