id			last val		val acc		test acc
0.09_0.24_2.00e-01_8.20e-06__600			0.083335		0.808333		0.766667
0.06_0.27_2.76e+00_2.47e-03__209			0.103249		0.856667		0.816667
0.11_0.21_1.53e+00_4.28e-04__2			0.051157		0.898333		0.903333
0.16_0.28_1.66e+00_1.28e-04__63			0.021994		0.950000		0.953333
0.20_0.27_9.14e-01_6.81e-04__6			0.024619		0.955000		0.951667
0.07_0.26_1.84e+00_5.99e-05__576			0.071127		0.853333		0.821667
0.20_0.28_1.77e+00_1.53e-04__566			0.017816		0.956667		0.968333
0.16_0.28_1.83e+00_3.01e-04__366			0.013476		0.960000		0.966667
0.20_0.34_5.60e-01_5.01e-05__217			0.064313		0.865000		0.836667
0.15_0.27_3.51e-01_1.87e-05__275			0.069728		0.868333		0.821667
0.19_0.31_3.88e-01_1.77e-05__553			0.063580		0.870000		0.840000
0.07_0.33_6.97e-01_1.54e-04__577			0.083400		0.848333		0.806667
0.13_0.34_4.33e+00_8.97e-04__129			0.045966		0.911667		0.916667
0.08_0.27_8.89e-01_3.41e-04__91			0.078752		0.851667		0.816667
0.16_0.21_1.22e-01_7.02e-06__568			0.083293		0.790000		0.755000
0.10_0.40_4.14e-01_1.10e-04__507			0.078145		0.850000		0.803333
0.06_0.31_2.54e+00_8.09e-05__270			0.074251		0.858333		0.828333
0.15_0.35_2.72e+00_2.72e-04__25			0.015636		0.960000		0.965000
0.06_0.35_2.42e+00_2.41e-03__458			0.112219		0.851667		0.810000
0.06_0.30_1.17e-01_4.66e-06__435			0.082782		0.781667		0.756667
0.12_0.37_1.68e-01_1.20e-05__190			0.075692		0.828333		0.786667
0.18_0.39_2.27e-01_1.87e-05__380			0.070500		0.851667		0.808333
0.18_0.30_6.32e-01_5.80e-05__561			0.063450		0.871667		0.835000
0.07_0.34_2.68e+00_1.23e-03__151			0.098809		0.843333		0.813333
0.05_0.40_1.17e+00_2.01e-04__421			0.086337		0.850000		0.816667
0.18_0.28_4.70e-01_1.07e-04__138			0.060363		0.875000		0.850000
0.15_0.38_1.83e+00_2.73e-04__8			0.017609		0.958333		0.960000
0.08_0.25_3.95e+00_1.75e-03__44			0.095476		0.841667		0.818333
0.06_0.32_1.24e+00_5.35e-04__99			0.100343		0.846667		0.806667
0.13_0.22_9.39e-01_4.85e-04__310			0.050465		0.925000		0.930000
0.18_0.25_2.42e+00_4.18e-04__182			0.014533		0.960000		0.963333
0.20_0.23_2.46e+00_3.21e-04__423			0.017143		0.950000		0.953333
0.05_0.32_3.11e+00_2.36e-04__508			0.073568		0.861667		0.833333
0.15_0.30_2.92e+00_1.49e-04__353			0.013263		0.951667		0.965000
0.06_0.24_1.34e-01_4.84e-05__365			0.082300		0.811667		0.765000
0.18_0.36_1.84e-01_4.09e-05__1			0.073462		0.848333		0.808333
0.07_0.35_2.76e-01_3.32e-05__322			0.075776		0.831667		0.788333
0.18_0.30_2.52e-01_5.92e-05__186			0.074289		0.855000		0.811667
0.10_0.22_1.62e+00_3.02e-04__253			0.048607		0.895000		0.893333
0.08_0.24_2.17e-01_7.08e-06__389			0.075003		0.801667		0.755000
0.16_0.32_1.51e-01_2.07e-05__520			0.074605		0.838333		0.790000
0.08_0.28_1.54e-01_3.39e-05__92			0.077805		0.808333		0.771667
0.13_0.28_1.39e-01_2.03e-05__149			0.077988		0.826667		0.785000
0.05_0.33_2.57e-01_1.21e-05__445			0.075506		0.813333		0.770000
0.07_0.24_3.11e+00_1.44e-03__400			0.105036		0.848333		0.813333
0.06_0.33_9.96e-01_5.93e-05__316			0.076432		0.856667		0.821667
0.20_0.24_3.76e-01_7.45e-05__174			0.062463		0.860000		0.835000
0.13_0.25_1.63e-01_1.07e-04__321			0.078874		0.825000		0.786667
0.15_0.37_5.06e-01_3.56e-05__79			0.070334		0.856667		0.816667
0.20_0.28_1.60e-01_1.43e-05__451			0.072512		0.843333		0.795000
0.11_0.32_2.16e-01_2.16e-04__540			0.086138		0.825000		0.783333
0.10_0.38_8.09e-01_3.02e-04__268			0.059700		0.886667		0.861667
0.18_0.20_4.16e+00_2.93e-04__554			0.021837		0.958333		0.955000
0.18_0.27_5.14e-01_2.19e-04__444			0.059600		0.873333		0.848333
