id			last val		val acc		test acc
0.15_0.30_3.34e+00_2.72e-04__5001			0.022388		0.956667		0.970000
0.15_0.30_3.34e+00_2.72e-04__5002			0.036652		0.946667		0.950000
0.15_0.30_3.34e+00_2.72e-04__5007			0.033428		0.970000		0.971667
0.11_0.38_4.27e+00_2.42e-04__378			0.028175		0.950000		0.951667
0.10_0.21_1.18e+00_4.22e-04__667			0.050391		0.898333		0.910000
0.29_0.22_2.10e-01_1.41e-05__354			0.070301		0.828333		0.858333
0.13_0.26_2.46e+00_1.47e-04__900			0.032329		0.930000		0.921667
0.06_0.22_2.85e-01_1.86e-04__751			0.067878		0.830000		0.833333
0.17_0.31_4.62e+00_1.29e-03__314			0.029042		0.963333		0.966667
0.16_0.38_3.33e-01_2.94e-05__400			0.042543		0.901667		0.883333
0.10_0.27_1.16e+00_4.44e-04__915			0.060317		0.890000		0.878333
0.06_0.21_1.13e+00_3.93e-05__2147			0.066624		0.860000		0.868333
0.08_0.33_2.51e+00_8.75e-04__1003			0.042456		0.916667		0.910000
0.19_0.38_1.82e+00_2.12e-04__838			0.023082		0.968333		0.961667
0.24_0.35_1.89e-01_2.00e-05__3197			0.065991		0.860000		0.890000
0.20_0.23_4.64e+00_3.07e-03__524			0.025371		0.971667		0.978333
0.08_0.21_2.63e+00_8.42e-05__2468			0.049366		0.875000		0.850000
0.27_0.30_2.82e-01_6.61e-05__1867			0.056510		0.886667		0.906667
0.08_0.21_2.63e+00_8.42e-05__2466			0.054629		0.868333		0.891667
0.27_0.40_2.36e+00_3.83e-04__1228			0.023300		0.965000		0.976667
0.10_0.38_2.97e+00_3.36e-04__3349			0.050193		0.895000		0.895000
0.16_0.29_5.49e+00_3.83e-03__558			0.029848		0.961667		0.953333
0.22_0.34_1.06e-01_1.61e-05__1255			0.075805		0.858333		0.828333
0.23_0.38_3.02e-01_2.12e-05__1662			0.051462		0.873333		0.875000
0.13_0.33_2.05e+00_1.78e-03__220			0.028705		0.970000		0.965000
0.15_0.28_1.26e-01_8.47e-06__4333			0.072565		0.846667		0.821667
0.09_0.26_1.00e-01_5.18e-06__1214			0.081439		0.788333		0.821667
0.23_0.36_1.26e+00_1.18e-03__2488			0.030627		0.960000		0.960000
0.24_0.36_5.73e-01_2.04e-05__2441			0.036496		0.905000		0.906667
0.15_0.29_4.00e+00_1.85e-04__588			0.023147		0.960000		0.950000
0.22_0.26_2.27e-01_8.19e-05__347			0.064796		0.860000		0.883333
0.14_0.32_4.00e+00_2.01e-04__148			0.020699		0.963333		0.958333
0.20_0.22_1.98e+00_1.47e-03__3138			0.024130		0.958333		0.961667
0.16_0.23_5.46e-01_5.97e-05__1061			0.045528		0.873333		0.883333
0.15_0.21_2.12e+00_5.93e-04__28			0.029093		0.955000		0.960000
0.10_0.27_1.16e+00_4.44e-04__916			0.056174		0.868333		0.900000
