ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0001023316578330245,20,0.9650001000000001,0.009906956034917003,0.0031328545749488342,0.948333,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00010471768194855202,20,0.9658335000000001,0.009370682546585823,0.0029632700077598085,0.95,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0001084014359178331,20,0.9655001000000001,0.01125055883500913,0.003557739086835936,0.945,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00012024861420374123,20,0.9703332999999998,0.008004521875512325,0.0025312520707261718,0.956667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00013339056900390586,20,0.9648333000000001,0.009636933203393408,0.003047465858162587,0.943333,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00013808297652180923,20,0.9681666,0.009377157697772249,0.002965317630354113,0.945,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00013968351179887396,20,0.9683333,0.009229622203054233,0.002918662810451246,0.948333,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0001429404533431761,20,0.9666667,0.011546925199665315,0.0036514583602536925,0.936667,0.975,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00014459729217920195,20,0.9673335,0.008432674549367776,0.0026666458342936173,0.951667,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00014968392930772556,20,0.9661666,0.007578929537430367,0.0023966679564206314,0.953333,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00016414029711444664,20,0.9681666999999999,0.006594527294153337,0.0020853726341671726,0.956667,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00017387624002162505,20,0.9674999999999999,0.008827992800681759,0.0027916564417723205,0.95,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00017589165903277327,20,0.9674999,0.00966256937821866,0.0030555727284567935,0.948333,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00018848434090337955,20,0.9695,0.008014092531978302,0.0025342785780397225,0.951667,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00020197857568198785,20,0.9673332,0.0074202059839632295,0.002346475161693465,0.955,0.975,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00022405278693000182,20,0.9664999999999999,0.0072201364560820075,0.0022832076218435426,0.956667,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00026026478819690045,20,0.9696666,0.010268083118739007,0.003247052985914042,0.948333,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0002757023325609583,20,0.9693334000000002,0.010749583973345219,0.0033993169255013625,0.941667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.000278898029238044,20,0.9684999,0.013550305453301631,0.004284982822343351,0.935,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00036354699612933176,20,0.9681664999999999,0.010727974855488836,0.003392483522436044,0.946667,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0003720236681413066,20,0.9654999999999999,0.00895986938148843,0.0028333594783107536,0.948333,0.973333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0004223044187206672,20,0.9720000000000001,0.011271070805877838,0.00356422554156035,0.951667,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0004321511127789762,20,0.9676667999999999,0.009975164223655113,0.003154423898097542,0.946667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0004525386278170167,20,0.9691666,0.00868689946221711,0.0027470388105497873,0.95,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0004962444877628913,20,0.9711668,0.008994128403204628,0.0028441931322139894,0.951667,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0005137013543351339,20,0.9703334,0.010965763784514911,0.0034676789842454964,0.945,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0006036438506075864,20,0.9703332000000001,0.01044686615210513,0.0033035891451571246,0.953333,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0006394488428556937,20,0.9673334,0.011471963681563438,0.0036277534468471054,0.946667,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0007342870447166758,20,0.9658334,0.015260090775905953,0.004825664415278894,0.936667,0.986667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0007514081061116962,20,0.9684999999999999,0.011068038740244559,0.0035000211650153537,0.948333,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0007689283720758305,20,0.9685001,0.010347223046144589,0.003272079228360244,0.946667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0007778411071286482,20,0.9696667000000001,0.010327855182843047,0.0032659545722158777,0.953333,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.000805203967082547,20,0.9683333000000001,0.010482266040529807,0.003314783572790906,0.943333,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0008239785684528511,20,0.9674999999999999,0.011999413569004174,0.003794547746438322,0.95,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0008628512566366887,20,0.9684999,0.011978645095428031,0.0037879801784357586,0.948333,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0008829699955494083,20,0.9680001,0.013351804800600298,0.004222211404386725,0.936667,0.986667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0010023075482838654,20,0.9681666,0.00738917961466484,0.0023366637622426216,0.956667,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0010256779307444219,20,0.9661668000000001,0.011521473244916756,0.003643409745462794,0.941667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.001061759183483,20,0.9703334,0.01002463386086711,0.003170067570958755,0.946667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0011777987011971193,20,0.9665000000000001,0.010756915666986822,0.0034016354106027667,0.945,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0012052609368708425,20,0.9686667,0.012013432815440822,0.0037989810214202227,0.948333,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0013065201621247212,20,0.9668332000000002,0.013865524350384727,0.00438466378997423,0.935,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0014162866162991988,20,0.9674999,0.011817817164960958,0.0037371219212710446,0.94,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0016263395040481922,20,0.9676667000000002,0.011737732764701893,0.003711797010284322,0.941667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0016451905877536625,20,0.9680000000000002,0.011298432103615096,0.0035728779436191246,0.948333,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0018461469463245475,20,0.9698334000000001,0.00775597102166386,0.0024526533894720947,0.955,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0018891927762076663,20,0.9668333,0.011901152036205943,0.003763474721436147,0.943333,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0019332422875550453,20,0.9695,0.00959213284126336,0.0030332987397294568,0.948333,0.981667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.002119953457536071,20,0.9694999,0.01146783532271415,0.003626447945150879,0.94,0.985,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.002462585916350547,20,0.9684999999999999,0.0146660353424729,0.004637807592674195,0.941667,0.985,10
