id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_20.0__101			0.023985		0.946667		0.953333
0.28_0.34_6.10e+00_7.32e-04_20.0__117			0.025458		0.948333		0.946667
0.28_0.34_6.10e+00_7.32e-04_20.0__118			0.041376		0.935000		0.928333
0.28_0.34_6.10e+00_7.32e-04_20.0__100			0.020954		0.973333		0.961667
0.28_0.34_6.10e+00_7.32e-04_20.0__119			0.033540		0.960000		0.958333
0.28_0.34_6.10e+00_7.32e-04_20.0__108			0.030038		0.955000		0.953333
0.28_0.34_6.10e+00_7.32e-04_20.0__107			0.029587		0.970000		0.976667
0.28_0.34_6.10e+00_7.32e-04_20.0__104			0.030274		0.955000		0.966667
0.28_0.34_6.10e+00_7.32e-04_20.0__103			0.024463		0.963333		0.941667
0.28_0.34_6.10e+00_7.32e-04_20.0__105			0.041624		0.953333		0.936667
0.28_0.34_6.10e+00_7.32e-04_20.0__102			0.044430		0.940000		0.946667
0.28_0.34_6.10e+00_7.32e-04_20.0__114			0.035560		0.960000		0.968333
0.28_0.34_6.10e+00_7.32e-04_20.0__113			0.045335		0.951667		0.956667
0.28_0.34_6.10e+00_7.32e-04_20.0__109			0.041270		0.938333		0.920000
0.28_0.34_6.10e+00_7.32e-04_20.0__112			0.039305		0.936667		0.955000
0.28_0.34_6.10e+00_7.32e-04_20.0__110			0.040410		0.956667		0.941667
0.28_0.34_6.10e+00_7.32e-04_20.0__116			0.033812		0.936667		0.930000
0.28_0.34_6.10e+00_7.32e-04_20.0__106			0.036356		0.953333		0.955000
0.28_0.34_6.10e+00_7.32e-04_15.0__91			0.064878		0.843333		0.856667
0.28_0.34_6.10e+00_7.32e-04_20.0__115			0.027659		0.955000		0.938333
0.28_0.34_6.10e+00_7.32e-04_15.0__99			0.071324		0.856667		0.833333
0.28_0.34_6.10e+00_7.32e-04_15.0__87			0.065853		0.848333		0.871667
0.28_0.34_6.10e+00_7.32e-04_15.0__89			0.086435		0.793333		0.796667
0.28_0.34_6.10e+00_7.32e-04_15.0__84			0.076077		0.841667		0.883333
0.28_0.34_6.10e+00_7.32e-04_15.0__80			0.059884		0.871667		0.861667
0.28_0.34_6.10e+00_7.32e-04_15.0__88			0.055764		0.841667		0.810000
0.28_0.34_6.10e+00_7.32e-04_15.0__83			0.063499		0.850000		0.821667
0.28_0.34_6.10e+00_7.32e-04_15.0__94			0.062899		0.851667		0.846667
0.28_0.34_6.10e+00_7.32e-04_20.0__111			0.043085		0.930000		0.948333
0.28_0.34_6.10e+00_7.32e-04_15.0__92			0.068418		0.833333		0.853333
0.28_0.34_6.10e+00_7.32e-04_10.0__74			0.122407		0.590000		0.571667
0.28_0.34_6.10e+00_7.32e-04_15.0__86			0.062595		0.856667		0.885000
0.28_0.34_6.10e+00_7.32e-04_15.0__93			0.067162		0.870000		0.858333
0.28_0.34_6.10e+00_7.32e-04_10.0__73			0.161064		0.546667		0.540000
0.28_0.34_6.10e+00_7.32e-04_10.0__64			0.166979		0.575000		0.585000
0.28_0.34_6.10e+00_7.32e-04_15.0__96			0.075557		0.783333		0.768333
0.28_0.34_6.10e+00_7.32e-04_10.0__67			0.136372		0.581667		0.576667
0.28_0.34_6.10e+00_7.32e-04_15.0__90			0.073664		0.851667		0.856667
0.28_0.34_6.10e+00_7.32e-04_10.0__60			0.129517		0.570000		0.610000
0.28_0.34_6.10e+00_7.32e-04_10.0__61			0.143847		0.580000		0.618333
0.28_0.34_6.10e+00_7.32e-04_10.0__65			0.151545		0.595000		0.595000
0.28_0.34_6.10e+00_7.32e-04_15.0__81			0.054769		0.856667		0.860000
0.28_0.34_6.10e+00_7.32e-04_10.0__72			0.127155		0.596667		0.601667
0.28_0.34_6.10e+00_7.32e-04_10.0__71			0.120108		0.553333		0.541667
0.28_0.34_6.10e+00_7.32e-04_10.0__78			0.135992		0.646667		0.590000
0.28_0.34_6.10e+00_7.32e-04_15.0__98			0.066931		0.845000		0.821667
0.28_0.34_6.10e+00_7.32e-04_15.0__97			0.060558		0.885000		0.855000
0.28_0.34_6.10e+00_7.32e-04_15.0__95			0.057980		0.873333		0.846667
0.28_0.34_6.10e+00_7.32e-04_10.0__76			0.135985		0.571667		0.573333
0.28_0.34_6.10e+00_7.32e-04_10.0__62			0.131672		0.578333		0.565000
0.28_0.34_6.10e+00_7.32e-04_15.0__85			0.066596		0.866667		0.840000
0.28_0.34_6.10e+00_7.32e-04_10.0__69			0.137597		0.601667		0.630000
0.28_0.34_6.10e+00_7.32e-04_10.0__70			0.150379		0.575000		0.573333
0.28_0.34_6.10e+00_7.32e-04_6.0__58			0.170912		0.445000		0.426667
0.28_0.34_6.10e+00_7.32e-04_10.0__68			0.135192		0.656667		0.625000
0.28_0.34_6.10e+00_7.32e-04_6.0__55			0.136421		0.595000		0.558333
0.28_0.34_6.10e+00_7.32e-04_6.0__57			0.184507		0.351667		0.366667
0.28_0.34_6.10e+00_7.32e-04_6.0__54			0.173349		0.348333		0.308333
0.28_0.34_6.10e+00_7.32e-04_6.0__41			0.174746		0.388333		0.371667
0.28_0.34_6.10e+00_7.32e-04_6.0__43			0.162949		0.456667		0.445000
0.28_0.34_6.10e+00_7.32e-04_6.0__45			0.167980		0.436667		0.461667
0.28_0.34_6.10e+00_7.32e-04_10.0__66			0.137599		0.560000		0.573333
0.28_0.34_6.10e+00_7.32e-04_10.0__77			0.162726		0.558333		0.533333
0.28_0.34_6.10e+00_7.32e-04_3.0__20			0.134663		0.553333		0.583333
0.28_0.34_6.10e+00_7.32e-04_15.0__82			0.063493		0.838333		0.820000
0.28_0.34_6.10e+00_7.32e-04_6.0__56			0.168549		0.463333		0.390000
0.28_0.34_6.10e+00_7.32e-04_6.0__44			0.221113		0.345000		0.331667
0.28_0.34_6.10e+00_7.32e-04_10.0__79			0.135740		0.648333		0.635000
0.28_0.34_6.10e+00_7.32e-04_6.0__40			0.184113		0.326667		0.331667
0.28_0.34_6.10e+00_7.32e-04_6.0__52			0.178430		0.356667		0.338333
0.28_0.34_6.10e+00_7.32e-04_6.0__47			0.171244		0.533333		0.535000
0.28_0.34_6.10e+00_7.32e-04_3.0__32			0.136592		0.571667		0.583333
0.28_0.34_6.10e+00_7.32e-04_6.0__50			0.200782		0.323333		0.356667
0.28_0.34_6.10e+00_7.32e-04_6.0__42			0.155967		0.591667		0.570000
0.28_0.34_6.10e+00_7.32e-04_10.0__63			0.125873		0.575000		0.563333
0.28_0.34_6.10e+00_7.32e-04_3.0__35			0.122226		0.611667		0.593333
0.28_0.34_6.10e+00_7.32e-04_3.0__23			0.134702		0.563333		0.555000
0.28_0.34_6.10e+00_7.32e-04_10.0__75			0.110243		0.670000		0.701667
0.28_0.34_6.10e+00_7.32e-04_3.0__30			0.148922		0.576667		0.586667
0.28_0.34_6.10e+00_7.32e-04_3.0__27			0.141680		0.565000		0.548333
0.28_0.34_6.10e+00_7.32e-04_3.0__39			0.141138		0.693333		0.700000
0.28_0.34_6.10e+00_7.32e-04_3.0__26			0.138098		0.548333		0.566667
0.28_0.34_6.10e+00_7.32e-04_3.0__29			0.138953		0.635000		0.655000
0.28_0.34_6.10e+00_7.32e-04_0.0__7			0.127083		0.605000		0.595000
