id			last val		val acc		test acc
0.1_0.1_5.00e+00_1.68e-02_1.5			0.144144		0.588333		0.580000
0.1_0.1_5.00e+00_3.69e-04_1.5			0.159628		0.563333		0.521667
0.1_0.1_5.00e+00_2.14e-01_2.0			0.313811		0.363333		0.348333
0.1_0.1_5.00e+00_8.63e-04_2.0			0.178341		0.326667		0.330000
0.1_0.1_5.00e+00_1.68e-02_2.5			0.126581		0.591667		0.570000
0.1_0.1_5.00e+00_4.71e-03_2.0			0.151542		0.535000		0.495000
0.1_0.1_1.35e+00_4.27e-05_2.0			0.173384		0.571667		0.533333
0.1_0.1_5.00e+00_1.58e-04_2.0			0.176701		0.326667		0.330000
0.1_0.1_5.00e+00_3.27e-01_1.5			0.328852		0.363333		0.348333
0.1_0.1_5.00e+00_2.42e-04_2.5			0.176677		0.326667		0.330000
0.1_0.1_1.87e+00_4.94e-04_1.5			0.137915		0.588333		0.550000
0.1_0.1_5.00e+00_2.57e-02_1.5			0.126407		0.586667		0.565000
0.1_0.1_5.00e+00_1.58e-04_1.5			0.177132		0.326667		0.330000
0.1_0.1_3.61e+00_1.54e-01_2.5			0.202076		0.455000		0.460000
0.1_0.1_5.00e+00_2.01e-03_2.0			0.154925		0.511667		0.478333
0.1_0.1_5.00e+00_2.57e-02_2.0			0.131493		0.581667		0.573333
0.1_0.1_2.60e+00_4.76e-02_2.0			0.148377		0.583333		0.571667
0.1_0.1_5.00e+00_3.92e-02_1.5			0.133963		0.578333		0.568333
0.1_0.1_1.35e+00_3.56e-04_2.5			0.131157		0.596667		0.583333
0.1_0.1_1.35e+00_2.48e-02_2.0			0.141853		0.583333		0.563333
0.1_0.1_1.35e+00_2.33e-04_2.0			0.122316		0.605000		0.585000
0.1_0.1_2.60e+00_2.04e-02_2.5			0.135055		0.585000		0.565000
0.1_0.1_5.00e+00_5.64e-04_2.5			0.172161		0.326667		0.330000
0.1_0.1_1.35e+00_3.56e-04_1.5			0.125584		0.596667		0.580000
0.1_0.1_5.00e+00_9.16e-02_1.5			0.183251		0.560000		0.576667
0.1_0.1_2.60e+00_3.12e-02_2.5			0.141726		0.580000		0.565000
0.1_0.1_5.00e+00_8.63e-04_2.5			0.169927		0.326667		0.330000
0.1_0.1_1.35e+00_6.53e-05_2.0			0.158797		0.633333		0.593333
0.1_0.1_3.61e+00_2.66e-04_2.0			0.173455		0.515000		0.478333
0.1_0.1_5.00e+00_1.68e-02_2.0			0.124984		0.601667		0.586667
0.1_0.1_2.60e+00_7.28e-02_2.0			0.156928		0.573333		0.583333
0.1_0.1_7.03e-01_1.29e-02_2.0			0.131988		0.595000		0.578333
0.1_0.1_3.61e+00_6.22e-04_2.5			0.148688		0.548333		0.506667
0.1_0.1_1.87e+00_3.44e-02_2.5			0.145066		0.583333		0.571667
0.1_0.1_2.60e+00_1.05e-03_2.0			0.144852		0.550000		0.511667
0.1_0.1_3.61e+00_9.51e-04_2.5			0.144005		0.546667		0.510000
0.1_0.1_3.61e+00_1.21e-02_2.0			0.125347		0.601667		0.585000
0.1_0.1_3.61e+00_1.14e-04_1.5			0.177503		0.326667		0.330000
0.1_0.1_1.35e+00_5.45e-04_2.0			0.136013		0.588333		0.565000
0.1_0.1_1.35e+00_1.94e-03_2.0			0.127876		0.593333		0.585000
0.1_0.1_1.35e+00_1.62e-02_1.5			0.136540		0.600000		0.583333
0.1_0.1_7.03e-01_5.51e-03_2.5			0.130134		0.603333		0.590000
0.1_0.1_5.07e-01_7.29e-04_1.5			0.137065		0.588333		0.570000
0.1_0.1_9.74e-01_9.74e-02_2.0			0.145461		0.568333		0.576667
0.1_0.1_3.61e+00_1.85e-02_1.5			0.122438		0.598333		0.581667
0.1_0.1_9.74e-01_4.17e-02_2.5			0.152819		0.570000		0.585000
0.1_0.1_2.60e+00_3.12e-02_1.5			0.136926		0.575000		0.565000
0.1_0.1_1.87e+00_9.62e-03_1.5			0.132904		0.608333		0.590000
0.1_0.1_1.35e+00_1.53e-04_2.0			0.121871		0.608333		0.590000
0.1_0.1_5.00e+00_1.32e-03_2.0			0.184313		0.326667		0.330000
0.1_0.1_1.87e+00_9.06e-05_1.5			0.172948		0.536667		0.510000
0.1_0.1_3.61e+00_4.32e-02_1.5			0.140553		0.575000		0.561667
0.1_0.1_7.03e-01_5.19e-05_2.5			0.126230		0.603333		0.588333
0.1_0.1_1.35e+00_3.79e-02_2.5			0.139789		0.588333		0.585000
0.1_0.1_3.61e+00_1.14e-04_2.0			0.177356		0.326667		0.330000
0.1_0.1_1.35e+00_6.94e-03_1.5			0.131664		0.611667		0.591667
0.1_0.1_2.60e+00_4.48e-04_2.5			0.140914		0.581667		0.541667
0.1_0.1_3.61e+00_2.36e-01_2.0			0.156853		0.628333		0.593333
0.1_0.1_5.00e+00_3.92e-02_2.0			0.140764		0.586667		0.570000
0.1_0.1_1.35e+00_6.53e-05_2.5			0.171531		0.590000		0.568333
0.1_0.1_1.35e+00_2.33e-04_1.5			0.128168		0.620000		0.591667
0.1_0.1_7.03e-01_1.54e-03_1.5			0.133065		0.583333		0.571667
0.1_0.1_2.60e+00_2.45e-03_2.0			0.128116		0.591667		0.585000
0.1_0.1_9.74e-01_6.38e-02_2.5			0.184929		0.448333		0.455000
0.1_0.1_2.60e+00_2.04e-02_2.0			0.130702		0.586667		0.566667
0.1_0.1_3.61e+00_2.22e-03_1.5			0.152106		0.528333		0.493333
0.1_0.1_5.07e-01_2.45e-05_1.5			0.132613		0.611667		0.581667
0.1_0.1_1.87e+00_9.62e-03_2.0			0.135891		0.608333		0.590000
0.1_0.1_7.03e-01_1.21e-04_2.5			0.122975		0.605000		0.588333
0.1_0.1_2.60e+00_7.28e-02_1.5			0.144566		0.580000		0.568333
0.1_0.1_1.35e+00_1.62e-02_2.0			0.142159		0.600000		0.580000
0.1_0.1_5.00e+00_4.71e-03_1.5			0.144113		0.560000		0.535000
0.1_0.1_3.61e+00_2.83e-02_2.5			0.139437		0.580000		0.570000
0.1_0.1_1.35e+00_5.79e-02_2.0			0.154478		0.580000		0.583333
0.1_0.1_2.60e+00_1.33e-02_2.0			0.128038		0.603333		0.588333
0.1_0.1_3.61e+00_1.01e-01_2.5			0.202519		0.381667		0.373333
0.1_0.1_1.35e+00_4.27e-05_2.5			0.174226		0.583333		0.581667
0.1_0.1_7.03e-01_4.60e-02_1.5			0.134963		0.581667		0.571667
