id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_30.0__591			0.014143		0.973333		0.970000
0.28_0.34_6.10e+00_7.32e-04_28.5__561			0.014292		0.973333		0.975000
0.28_0.34_6.10e+00_7.32e-04_29.0__570			0.016651		0.976667		0.975000
0.28_0.34_6.10e+00_7.32e-04_28.0__559			0.025927		0.956667		0.960000
0.28_0.34_6.10e+00_7.32e-04_29.5__580			0.015312		0.983333		0.970000
0.28_0.34_6.10e+00_7.32e-04_28.5__567			0.022825		0.981667		0.981667
0.28_0.34_6.10e+00_7.32e-04_30.0__598			0.017513		0.970000		0.973333
0.28_0.34_6.10e+00_7.32e-04_29.0__573			0.016340		0.976667		0.968333
0.28_0.34_6.10e+00_7.32e-04_26.9__530			0.016690		0.980000		0.973333
0.28_0.34_6.10e+00_7.32e-04_29.5__589			0.026572		0.956667		0.956667
0.28_0.34_6.10e+00_7.32e-04_27.5__541			0.013976		0.970000		0.973333
0.28_0.34_6.10e+00_7.32e-04_29.0__575			0.031814		0.951667		0.955000
0.28_0.34_6.10e+00_7.32e-04_26.9__536			0.022411		0.963333		0.963333
0.28_0.34_6.10e+00_7.32e-04_29.5__584			0.019129		0.973333		0.983333
0.28_0.34_6.10e+00_7.32e-04_28.5__566			0.022651		0.966667		0.968333
0.28_0.34_6.10e+00_7.32e-04_28.0__551			0.013796		0.971667		0.975000
0.28_0.34_6.10e+00_7.32e-04_30.0__595			0.031339		0.958333		0.953333
0.28_0.34_6.10e+00_7.32e-04_28.5__560			0.017384		0.976667		0.970000
0.28_0.34_6.10e+00_7.32e-04_26.9__531			0.015398		0.973333		0.971667
0.28_0.34_6.10e+00_7.32e-04_29.5__581			0.014095		0.970000		0.971667
0.28_0.34_6.10e+00_7.32e-04_30.0__590			0.015914		0.978333		0.975000
0.28_0.34_6.10e+00_7.32e-04_29.5__582			0.025472		0.966667		0.980000
0.28_0.34_6.10e+00_7.32e-04_26.9__534			0.019720		0.978333		0.981667
