id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_28.0__550			0.016407		0.981667		0.965000
0.28_0.34_6.10e+00_7.32e-04_27.5__544			0.020136		0.980000		0.976667
0.28_0.34_6.10e+00_7.32e-04_23.4__463			0.015830		0.978333		0.965000
0.28_0.34_6.10e+00_7.32e-04_29.0__576			0.019854		0.973333		0.963333
0.28_0.34_6.10e+00_7.32e-04_28.5__561			0.014372		0.980000		0.976667
0.28_0.34_6.10e+00_7.32e-04_27.5__548			0.016290		0.966667		0.970000
0.28_0.34_6.10e+00_7.32e-04_29.5__588			0.016788		0.966667		0.961667
0.28_0.34_6.10e+00_7.32e-04_28.5__563			0.014551		0.980000		0.970000
0.28_0.34_6.10e+00_7.32e-04_24.4__484			0.020903		0.973333		0.975000
0.28_0.34_6.10e+00_7.32e-04_23.9__476			0.019666		0.970000		0.963333
0.28_0.34_6.10e+00_7.32e-04_29.5__585			0.025966		0.968333		0.961667
0.28_0.34_6.10e+00_7.32e-04_25.9__513			0.013598		0.978333		0.971667
0.28_0.34_6.10e+00_7.32e-04_29.0__578			0.016921		0.966667		0.961667
0.28_0.34_6.10e+00_7.32e-04_30.0__590			0.014877		0.980000		0.973333
0.28_0.34_6.10e+00_7.32e-04_28.0__557			0.019131		0.978333		0.976667
0.28_0.34_6.10e+00_7.32e-04_29.0__571			0.015652		0.976667		0.973333
0.28_0.34_6.10e+00_7.32e-04_29.0__575			0.028210		0.975000		0.960000
0.28_0.34_6.10e+00_7.32e-04_30.0__597			0.020006		0.973333		0.980000
0.28_0.34_6.10e+00_7.32e-04_22.4__448			0.018166		0.968333		0.963333
0.28_0.34_6.10e+00_7.32e-04_28.5__568			0.017647		0.961667		0.965000
0.28_0.34_6.10e+00_7.32e-04_29.0__579			0.023801		0.960000		0.950000
0.28_0.34_6.10e+00_7.32e-04_24.9__491			0.016367		0.978333		0.976667
0.28_0.34_6.10e+00_7.32e-04_21.4__423			0.015396		0.978333		0.970000
0.28_0.34_6.10e+00_7.32e-04_29.5__586			0.019897		0.973333		0.963333
0.28_0.34_6.10e+00_7.32e-04_27.5__541			0.014729		0.978333		0.971667
0.28_0.34_6.10e+00_7.32e-04_29.5__582			0.020435		0.966667		0.976667
0.28_0.34_6.10e+00_7.32e-04_23.9__479			0.022545		0.963333		0.953333
