ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,0.6128333,0.0732661769107834,0.023168799449091466,0.508333,0.73,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5084745762711864,0.6036667,0.054505512010866036,0.017236156298800095,0.531667,0.698333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,0.5796666,0.051152182291233216,0.016175740332842737,0.485,0.653333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,0.5516668,0.05992290108278958,0.018949285142658506,0.466667,0.666667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.0338983050847457,0.5170000000000001,0.10353267629969669,0.03273990693599751,0.345,0.696667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.542372881355932,0.5013333,0.09989131179887469,0.03158840637464955,0.345,0.63,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.0508474576271185,0.4346667,0.09778988763449249,0.030923877705693163,0.346667,0.636667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.559322033898305,0.3943333,0.04681315975247892,0.014803620928715757,0.346667,0.493333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.067796610169491,0.41783349999999997,0.06736233286447582,0.02130184003541581,0.346667,0.565,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.576271186440678,0.4704999999999999,0.09058137600583857,0.028644346177057536,0.368333,0.626667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.084745762711864,0.5119999999999999,0.08123581129718048,0.025689019127072787,0.408333,0.626667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.59322033898305,0.5411664,0.07647341311593203,0.024183016589333937,0.378333,0.618333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.101694915254237,0.5294999,0.07412046009698602,0.023438947512610064,0.411667,0.605,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.610169491525424,0.5638333000000001,0.08026977453430957,0.025383531479659983,0.456667,0.72,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.11864406779661,0.5845,0.07531013736690577,0.0238151564979578,0.451667,0.703333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.627118644067796,0.5994999999999999,0.0849583696171249,0.026866195428456204,0.451667,0.721667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.135593220338983,0.6306665,0.09412096695122367,0.029763663114330093,0.456667,0.725,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.64406779661017,0.6765000000000001,0.08953744302680176,0.028314225583225425,0.45,0.756667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.152542372881356,0.7673335000000001,0.03432946580239452,0.010855930279242653,0.696667,0.806667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.661016949152541,0.7873332000000001,0.027713184009701117,0.00876367826860134,0.748333,0.82,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.169491525423728,0.8099999999999999,0.03726780459502993,0.011785114591438361,0.75,0.878333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.677966101694915,0.8234999000000001,0.03595658956899743,0.011370471992988395,0.758333,0.883333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.1864406779661,0.8538334000000001,0.023844429949151615,0.0075402708147652,0.823333,0.89,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.694915254237287,0.8573333,0.01857910814179311,0.0058752298622644795,0.836667,0.885,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.203389830508474,0.8659999,0.022029813694930133,0.006966438770514898,0.833333,0.903333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.711864406779661,0.8783332999999999,0.02670129695996891,0.008443691487403154,0.83,0.923333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.220338983050848,0.9128333999999999,0.022111559461562628,0.006992289051678425,0.876667,0.941667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.728813559322033,0.9106668000000001,0.043978074503855505,0.013907088254076284,0.801667,0.955,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.23728813559322,0.9348334999999999,0.026532590024136132,0.008390341669973208,0.886667,0.96,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.745762711864407,0.9481667,0.01341306301127537,0.004241582951498691,0.913333,0.958333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.254237288135592,0.9460001,0.017036569962876898,0.005387436459950125,0.91,0.965,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.762711864406779,0.9498333999999999,0.01375369849410204,0.004349301349259036,0.921667,0.963333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,0.9558335000000001,0.007668007132814216,0.002424836765411018,0.945,0.966667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,0.9551665999999999,0.01007512644751081,0.003186034728833504,0.941667,0.968333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,0.9596667,0.00841799366502763,0.0026620033310355814,0.948333,0.973333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,0.9608333,0.008021833637018366,0.0025367265303930437,0.951667,0.973333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,0.9598334000000002,0.01092767017153144,0.0034556327261122234,0.943333,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,0.9641664999999999,0.008022018314198335,0.0025367849304450993,0.953333,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,0.9631666999999998,0.006824484792112711,0.002158091580025687,0.95,0.971667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,0.9640001,0.010546849044461896,0.0033352065118470073,0.946667,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,0.9661666000000002,0.008279503181552274,0.0026182087948315776,0.953333,0.98,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,0.9669999,0.005317019036390014,0.0016813890517466145,0.955,0.973333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,0.9644999999999999,0.00853647945909526,0.002699471828998319,0.948333,0.976667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,0.9658333000000001,0.008136599986753973,0.002573018836783842,0.95,0.976667,10
