id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_28.5__567			0.126803		0.685000		0.725000
0.28_0.34_6.10e+00_7.32e-04_26.4__523			0.128685		0.758333		0.735000
0.28_0.34_6.10e+00_7.32e-04_28.5__564			0.136786		0.550000		0.551667
0.28_0.34_6.10e+00_7.32e-04_29.5__586			0.119478		0.681667		0.661667
0.28_0.34_6.10e+00_7.32e-04_28.0__557			0.128085		0.683333		0.723333
0.28_0.34_6.10e+00_7.32e-04_29.0__579			0.120743		0.746667		0.730000
0.28_0.34_6.10e+00_7.32e-04_25.9__515			0.164735		0.385000		0.396667
0.28_0.34_6.10e+00_7.32e-04_28.0__555			0.142480		0.595000		0.615000
0.28_0.34_6.10e+00_7.32e-04_30.0__591			0.114851		0.708333		0.708333
0.28_0.34_6.10e+00_7.32e-04_28.5__566			0.124019		0.675000		0.643333
0.28_0.34_6.10e+00_7.32e-04_25.4__500			0.130595		0.551667		0.583333
0.28_0.34_6.10e+00_7.32e-04_27.5__548			0.113002		0.720000		0.691667
0.28_0.34_6.10e+00_7.32e-04_25.4__507			0.155354		0.626667		0.643333
0.28_0.34_6.10e+00_7.32e-04_29.5__581			0.115397		0.703333		0.706667
0.28_0.34_6.10e+00_7.32e-04_25.9__517			0.150460		0.615000		0.665000
0.28_0.34_6.10e+00_7.32e-04_23.9__475			0.169614		0.366667		0.396667
0.28_0.34_6.10e+00_7.32e-04_25.4__501			0.153092		0.668333		0.663333
0.28_0.34_6.10e+00_7.32e-04_25.4__508			0.148524		0.586667		0.565000
0.28_0.34_6.10e+00_7.32e-04_22.9__459			0.164341		0.523333		0.555000
0.28_0.34_6.10e+00_7.32e-04_23.4__461			0.163644		0.510000		0.556667
0.28_0.34_6.10e+00_7.32e-04_26.9__530			0.125672		0.683333		0.715000
0.28_0.34_6.10e+00_7.32e-04_20.8__417			0.166985		0.546667		0.593333
0.28_0.34_6.10e+00_7.32e-04_23.4__466			0.162517		0.553333		0.568333
0.28_0.34_6.10e+00_7.32e-04_19.8__390			0.175402		0.445000		0.475000
