ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,0.6148334,0.03916137269243203,0.01238391340068058,0.568333,0.685,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5084745762711864,0.6183332999999999,0.040345595015097,0.012758397380244195,0.571667,0.69,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,0.6164999000000001,0.0393658131757606,0.012448563158006978,0.568333,0.681667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,0.6153333000000001,0.04048924899292547,0.012803824756732326,0.57,0.68,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.0338983050847457,0.6108333,0.03375881869329362,0.010675475818747709,0.568333,0.66,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.542372881355932,0.6083334,0.03421954895864843,0.010821171521297204,0.566667,0.663333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.0508474576271185,0.6099999,0.03340735485039181,0.010564333192871178,0.565,0.663333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.559322033898305,0.6076666,0.03266177438943984,0.010328559949318531,0.566667,0.658333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.067796610169491,0.6056665999999999,0.033381431595690715,0.010556135539949163,0.565,0.661667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.576271186440678,0.6036667,0.03093012794832891,0.009780965263715014,0.565,0.65,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.084745762711864,0.6014999999999999,0.03308652517600223,0.01046287794166705,0.551667,0.651667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.59322033898305,0.6038334999999999,0.029017203285292698,0.00917604537096456,0.566667,0.638333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.101694915254237,0.5993333000000001,0.02813320958523335,0.008896502018021833,0.558333,0.628333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.610169491525424,0.6016667,0.030661386422411622,0.009695981731338234,0.56,0.65,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.11864406779661,0.5980000999999999,0.030870069407293404,0.009761973085453124,0.55,0.645,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.627118644067796,0.6023334,0.03186783122070146,0.010077493074724065,0.565,0.651667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.135593220338983,0.5988332999999999,0.029544449251368163,0.009342775184957993,0.558333,0.636667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.64406779661017,0.5965,0.03212107880781365,0.010157576993445704,0.551667,0.641667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.152542372881356,0.5961666000000001,0.030051814103866318,0.009503218038818947,0.551667,0.638333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.661016949152541,0.5986666,0.030528204730125314,0.009653865982312193,0.551667,0.65,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.169491525423728,0.5966666999999999,0.02996900868508451,0.009477032666223488,0.555,0.64,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.677966101694915,0.5966666,0.028523085734580428,0.009019791681753106,0.551667,0.638333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.1864406779661,0.5960000000000001,0.027059652896681566,0.008557013584708669,0.55,0.636667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.694915254237287,0.5926665999999999,0.027309411846060973,0.00863599429931363,0.548333,0.633333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.203389830508474,0.5975001000000001,0.024409686148694636,0.0077190205199738566,0.56,0.636667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.711864406779661,0.5939999,0.02296270513705013,0.007261444947192731,0.565,0.635,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.220338983050848,0.5916667,0.024267017703733906,0.007673904796342829,0.556667,0.636667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.728813559322033,0.5893333999999999,0.02141886442264282,0.006773239646989867,0.568333,0.631667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.23728813559322,0.5881667,0.023086611213957917,0.007300627489089191,0.566667,0.635,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.745762711864407,0.5695,0.046007566474319014,0.01454886996604507,0.465,0.638333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.254237288135592,0.5796667,0.03148393515588547,0.009956094479764647,0.53,0.631667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.762711864406779,0.5521667,0.06072639581132197,0.01920337248566861,0.415,0.636667,10
