ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,0.6073333000000001,0.023029544633168815,0.0072825814517320335,0.571667,0.653333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5084745762711864,0.5976666999999999,0.0219735373981725,0.006948642642911531,0.561667,0.626667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,0.5895002,0.019752364448057527,0.006246246082959643,0.55,0.611667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,0.5909999000000001,0.02167670650696019,0.0068547764732986745,0.56,0.625,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.0338983050847457,0.5913334000000001,0.027191709431777622,0.008598773527790019,0.558333,0.645,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.542372881355932,0.5900000000000001,0.026246636470222268,0.008299915216434452,0.546667,0.635,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.0508474576271185,0.5848334000000001,0.023286318244363557,0.0073637803971722225,0.556667,0.618333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.559322033898305,0.5745,0.034712567548047746,0.010977077688427723,0.496667,0.618333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.067796610169491,0.5775002,0.03656757992113899,0.01156368410710396,0.486667,0.611667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.576271186440678,0.5826667999999999,0.018142017257674954,0.005737009588433471,0.546667,0.605,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.084745762711864,0.5923334000000001,0.019566086812532437,0.006187339922418646,0.556667,0.628333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.59322033898305,0.5970001,0.024693134949932027,0.0078086549011693075,0.556667,0.65,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.101694915254237,0.5984999,0.02601581024620731,0.0082269215552761,0.558333,0.648333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.610169491525424,0.5986665999999999,0.026220796573203732,0.008291743923526175,0.556667,0.651667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.11864406779661,0.6003334,0.026455122961977252,0.008365844433966818,0.556667,0.65,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.627118644067796,0.5986668,0.023567489640510197,0.00745269459964351,0.556667,0.635,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.135593220338983,0.5996667,0.023488955116299944,0.007427859802497307,0.558333,0.636667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.64406779661017,0.6003333000000001,0.023750394930283723,0.007510534330821254,0.558333,0.636667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.152542372881356,0.5996667,0.02489225969408518,0.007871623674171534,0.558333,0.638333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.661016949152541,0.6005001,0.024495557925877057,0.007746175560236149,0.56,0.641667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.169491525423728,0.6000001,0.025178417664738145,0.007962114769959032,0.561667,0.641667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.677966101694915,0.6018334000000001,0.026948040539774582,0.0085217186584241,0.561667,0.648333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.1864406779661,0.606,0.027868945947455995,0.008812934518208018,0.563333,0.645,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.694915254237287,0.6024999,0.030954585413149976,0.009788699393177815,0.563333,0.656667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.203389830508474,0.6104999,0.03482794730752237,0.011013563972009944,0.573333,0.678333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.711864406779661,0.6343333,0.0333721895763856,0.010553212956830824,0.58,0.683333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.220338983050848,0.6314999000000001,0.05064684151707342,0.016015937548752964,0.586667,0.726667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.728813559322033,0.7326667,0.050608718568268644,0.016003882013818457,0.645,0.796667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.23728813559322,0.7731667000000001,0.029148955681884144,0.009217709137006038,0.726667,0.806667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.745762711864407,0.7833336,0.027352351108370115,0.008649572886308063,0.736667,0.816667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.254237288135592,0.7976667,0.02805637490660548,0.008872204759246721,0.755,0.84,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.762711864406779,0.8198333,0.03180234850534712,0.010056785621934844,0.775,0.876667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,0.8471669000000001,0.02393476705756709,0.007568837916747845,0.815,0.886667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,0.8600000000000001,0.024608045960620346,0.007781747400166644,0.828333,0.895,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,0.8634999999999999,0.023259749052816654,0.007355378481084472,0.831667,0.898333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,0.8679999,0.019161385425728823,0.006059362106965822,0.84,0.898333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,0.8748334,0.019268384520878902,0.006093198191790955,0.843333,0.906667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,0.8785000999999999,0.019475412484292395,0.00615866618216422,0.846667,0.911667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,0.8866666999999999,0.024330491971324066,0.00769397712218242,0.85,0.938333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,0.8956666999999999,0.026703785740976878,0.00844447850906141,0.853333,0.94,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,0.9033333000000001,0.024507620384280532,0.007749990044509751,0.858333,0.941667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,0.9123332999999999,0.028362885243649816,0.008969131838391318,0.853333,0.945,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,0.9188334000000001,0.023792327844636623,0.007523794682649647,0.866667,0.946667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,0.9288333999999999,0.024280481416607477,0.0076781623961871305,0.868333,0.955,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.9273333000000001,0.025533706603233286,0.008074466997269845,0.865,0.958333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.9278333999999999,0.02501901400579613,0.00791170690699689,0.866667,0.956667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.9279999999999999,0.023995905002497635,0.007588171432492093,0.87,0.956667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.9261667000000001,0.0248208875123353,0.007849053808581022,0.871667,0.963333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.9298333,0.026625627913513823,0.008419762833886037,0.868333,0.966667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.9288335000000002,0.02393476086852202,0.00756883595959995,0.88,0.961667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.9268335000000001,0.02308671388603312,0.007300659956850164,0.875,0.951667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.9256668000000001,0.02577442123846394,0.008150587648616392,0.871667,0.966667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.9226667,0.02623717417478071,0.008296922975885577,0.876667,0.965,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.9163333000000001,0.027406417200883614,0.008666670085960865,0.863333,0.96,10
