id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_25.9__510			0.032751		0.941667		0.935000
0.28_0.34_6.10e+00_7.32e-04_25.4__507			0.045009		0.941667		0.951667
0.28_0.34_6.10e+00_7.32e-04_25.9__518			0.033837		0.938333		0.925000
0.28_0.34_6.10e+00_7.32e-04_24.9__496			0.043220		0.928333		0.938333
0.28_0.34_6.10e+00_7.32e-04_25.9__514			0.051395		0.885000		0.905000
0.28_0.34_6.10e+00_7.32e-04_25.9__517			0.045281		0.950000		0.966667
0.28_0.34_6.10e+00_7.32e-04_24.9__497			0.044953		0.946667		0.961667
0.28_0.34_6.10e+00_7.32e-04_25.4__501			0.027535		0.943333		0.951667
0.28_0.34_6.10e+00_7.32e-04_23.9__476			0.043820		0.921667		0.931667
0.28_0.34_6.10e+00_7.32e-04_23.9__478			0.031264		0.948333		0.926667
0.28_0.34_6.10e+00_7.32e-04_19.8__398			0.038951		0.906667		0.886667
0.28_0.34_6.10e+00_7.32e-04_24.4__481			0.026354		0.945000		0.953333
0.28_0.34_6.10e+00_7.32e-04_19.3__380			0.045437		0.890000		0.865000
0.28_0.34_6.10e+00_7.32e-04_19.3__388			0.042230		0.901667		0.873333
0.28_0.34_6.10e+00_7.32e-04_23.9__474			0.046552		0.885000		0.910000
0.28_0.34_6.10e+00_7.32e-04_24.9__493			0.036032		0.938333		0.931667
0.28_0.34_6.10e+00_7.32e-04_23.4__460			0.032501		0.943333		0.936667
0.28_0.34_6.10e+00_7.32e-04_28.0__559			0.053596		0.870000		0.846667
0.28_0.34_6.10e+00_7.32e-04_25.4__509			0.050096		0.888333		0.875000
0.28_0.34_6.10e+00_7.32e-04_23.9__475			0.050570		0.921667		0.913333
0.28_0.34_6.10e+00_7.32e-04_24.4__483			0.035384		0.936667		0.938333
0.28_0.34_6.10e+00_7.32e-04_19.8__399			0.058365		0.871667		0.853333
0.28_0.34_6.10e+00_7.32e-04_23.4__464			0.045207		0.896667		0.913333
0.28_0.34_6.10e+00_7.32e-04_24.4__487			0.044324		0.951667		0.966667
0.28_0.34_6.10e+00_7.32e-04_24.4__485			0.048151		0.930000		0.935000
0.28_0.34_6.10e+00_7.32e-04_28.0__557			0.047986		0.931667		0.948333
0.28_0.34_6.10e+00_7.32e-04_24.9__492			0.039641		0.923333		0.926667
0.28_0.34_6.10e+00_7.32e-04_22.4__449			0.054728		0.883333		0.865000
0.28_0.34_6.10e+00_7.32e-04_25.9__513			0.034956		0.940000		0.935000
0.28_0.34_6.10e+00_7.32e-04_25.9__511			0.027099		0.940000		0.951667
0.28_0.34_6.10e+00_7.32e-04_19.3__384			0.063326		0.853333		0.885000
0.28_0.34_6.10e+00_7.32e-04_19.8__393			0.036616		0.926667		0.910000
0.28_0.34_6.10e+00_7.32e-04_25.4__503			0.034698		0.938333		0.930000
0.28_0.34_6.10e+00_7.32e-04_23.4__461			0.027373		0.945000		0.953333
0.28_0.34_6.10e+00_7.32e-04_24.4__489			0.050430		0.890000		0.868333
0.28_0.34_6.10e+00_7.32e-04_25.4__500			0.033742		0.950000		0.940000
