id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_24.4__481			0.020088		0.961667		0.963333
0.28_0.34_6.10e+00_7.32e-04_29.5__581			0.021001		0.961667		0.963333
0.28_0.34_6.10e+00_7.32e-04_29.5__586			0.034293		0.951667		0.960000
0.28_0.34_6.10e+00_7.32e-04_23.9__478			0.023323		0.961667		0.943333
0.28_0.34_6.10e+00_7.32e-04_30.0__593			0.028584		0.951667		0.950000
0.28_0.34_6.10e+00_7.32e-04_29.0__578			0.026759		0.956667		0.936667
0.28_0.34_6.10e+00_7.32e-04_29.0__572			0.036250		0.941667		0.941667
0.28_0.34_6.10e+00_7.32e-04_28.5__566			0.032189		0.961667		0.965000
0.28_0.34_6.10e+00_7.32e-04_28.5__564			0.032352		0.941667		0.958333
0.28_0.34_6.10e+00_7.32e-04_29.0__574			0.033161		0.941667		0.958333
0.28_0.34_6.10e+00_7.32e-04_23.4__466			0.034812		0.951667		0.956667
0.28_0.34_6.10e+00_7.32e-04_29.0__573			0.024393		0.963333		0.945000
0.28_0.34_6.10e+00_7.32e-04_28.5__568			0.025607		0.951667		0.943333
0.28_0.34_6.10e+00_7.32e-04_30.0__598			0.026282		0.956667		0.938333
0.28_0.34_6.10e+00_7.32e-04_25.9__514			0.029732		0.940000		0.958333
0.28_0.34_6.10e+00_7.32e-04_23.4__463			0.023557		0.960000		0.956667
0.28_0.34_6.10e+00_7.32e-04_30.0__592			0.036032		0.938333		0.940000
0.28_0.34_6.10e+00_7.32e-04_24.9__495			0.037293		0.948333		0.946667
0.28_0.34_6.10e+00_7.32e-04_24.4__483			0.022301		0.966667		0.956667
0.28_0.34_6.10e+00_7.32e-04_24.4__485			0.036755		0.953333		0.946667
0.28_0.34_6.10e+00_7.32e-04_28.5__563			0.025470		0.961667		0.950000
0.28_0.34_6.10e+00_7.32e-04_28.5__562			0.036541		0.935000		0.940000
0.28_0.34_6.10e+00_7.32e-04_23.4__467			0.035168		0.958333		0.975000
0.28_0.34_6.10e+00_7.32e-04_26.9__537			0.034639		0.955000		0.973333
0.28_0.34_6.10e+00_7.32e-04_24.9__498			0.023044		0.961667		0.940000
0.28_0.34_6.10e+00_7.32e-04_24.4__488			0.022951		0.963333		0.943333
0.28_0.34_6.10e+00_7.32e-04_28.0__550			0.027565		0.965000		0.955000
0.28_0.34_6.10e+00_7.32e-04_25.9__516			0.032399		0.953333		0.966667
0.28_0.34_6.10e+00_7.32e-04_22.9__457			0.035455		0.955000		0.973333
0.28_0.34_6.10e+00_7.32e-04_24.9__494			0.027638		0.946667		0.966667
0.28_0.34_6.10e+00_7.32e-04_29.5__580			0.029058		0.961667		0.946667
0.28_0.34_6.10e+00_7.32e-04_28.0__557			0.035746		0.955000		0.973333
0.28_0.34_6.10e+00_7.32e-04_22.9__450			0.025975		0.963333		0.951667
0.28_0.34_6.10e+00_7.32e-04_29.5__587			0.037752		0.961667		0.973333
0.28_0.34_6.10e+00_7.32e-04_22.4__446			0.037197		0.945000		0.956667
0.28_0.34_6.10e+00_7.32e-04_28.5__567			0.036165		0.961667		0.976667
0.28_0.34_6.10e+00_7.32e-04_25.9__518			0.025514		0.951667		0.936667
0.28_0.34_6.10e+00_7.32e-04_29.5__582			0.036331		0.940000		0.941667
0.28_0.34_6.10e+00_7.32e-04_24.4__486			0.033346		0.951667		0.965000
0.28_0.34_6.10e+00_7.32e-04_23.9__477			0.033531		0.958333		0.976667
0.28_0.34_6.10e+00_7.32e-04_27.5__545			0.038315		0.948333		0.945000
0.28_0.34_6.10e+00_7.32e-04_29.0__571			0.021259		0.960000		0.958333
0.28_0.34_6.10e+00_7.32e-04_26.4__528			0.025350		0.953333		0.943333
0.28_0.34_6.10e+00_7.32e-04_28.0__555			0.039178		0.948333		0.946667
0.28_0.34_6.10e+00_7.32e-04_24.9__492			0.034119		0.946667		0.943333
0.28_0.34_6.10e+00_7.32e-04_20.8__411			0.025416		0.945000		0.958333
0.28_0.34_6.10e+00_7.32e-04_22.9__453			0.023457		0.956667		0.953333
0.28_0.34_6.10e+00_7.32e-04_25.4__507			0.034606		0.953333		0.975000
0.28_0.34_6.10e+00_7.32e-04_29.5__584			0.034070		0.940000		0.958333
0.28_0.34_6.10e+00_7.32e-04_27.5__540			0.026868		0.970000		0.955000
0.28_0.34_6.10e+00_7.32e-04_28.0__551			0.021001		0.963333		0.961667
0.28_0.34_6.10e+00_7.32e-04_30.0__591			0.020926		0.951667		0.960000
0.28_0.34_6.10e+00_7.32e-04_27.5__543			0.024027		0.961667		0.953333
0.28_0.34_6.10e+00_7.32e-04_24.4__480			0.026221		0.968333		0.955000
0.28_0.34_6.10e+00_7.32e-04_26.9__531			0.021294		0.953333		0.956667
0.28_0.34_6.10e+00_7.32e-04_22.9__451			0.021916		0.955000		0.963333
0.28_0.34_6.10e+00_7.32e-04_24.4__489			0.042025		0.948333		0.923333
0.28_0.34_6.10e+00_7.32e-04_27.5__549			0.044072		0.931667		0.915000
0.28_0.34_6.10e+00_7.32e-04_30.0__597			0.038043		0.961667		0.973333
0.28_0.34_6.10e+00_7.32e-04_26.9__538			0.025203		0.955000		0.941667
0.28_0.34_6.10e+00_7.32e-04_26.9__534			0.030094		0.941667		0.960000
0.28_0.34_6.10e+00_7.32e-04_24.9__497			0.033662		0.958333		0.976667
0.28_0.34_6.10e+00_7.32e-04_23.4__465			0.039081		0.945000		0.943333
0.28_0.34_6.10e+00_7.32e-04_23.9__479			0.040559		0.946667		0.928333
0.28_0.34_6.10e+00_7.32e-04_21.9__435			0.038779		0.945000		0.945000
0.28_0.34_6.10e+00_7.32e-04_20.8__419			0.046262		0.936667		0.918333
0.28_0.34_6.10e+00_7.32e-04_24.9__493			0.021600		0.963333		0.955000
0.28_0.34_6.10e+00_7.32e-04_27.5__548			0.025357		0.955000		0.940000
0.28_0.34_6.10e+00_7.32e-04_28.0__559			0.043617		0.938333		0.908333
0.28_0.34_6.10e+00_7.32e-04_25.4__500			0.025228		0.971667		0.960000
0.28_0.34_6.10e+00_7.32e-04_30.0__595			0.041304		0.943333		0.945000
0.28_0.34_6.10e+00_7.32e-04_20.3__406			0.040061		0.948333		0.958333
0.28_0.34_6.10e+00_7.32e-04_17.8__355			0.064252		0.890000		0.878333
0.28_0.34_6.10e+00_7.32e-04_25.4__503			0.021495		0.966667		0.951667
0.28_0.34_6.10e+00_7.32e-04_26.4__525			0.037331		0.950000		0.945000
0.28_0.34_6.10e+00_7.32e-04_20.3__408			0.026815		0.951667		0.941667
0.28_0.34_6.10e+00_7.32e-04_19.3__388			0.031619		0.945000		0.933333
0.28_0.34_6.10e+00_7.32e-04_19.8__391			0.034893		0.921667		0.946667
0.28_0.34_6.10e+00_7.32e-04_25.4__504			0.029245		0.940000		0.956667
0.28_0.34_6.10e+00_7.32e-04_26.4__522			0.036874		0.943333		0.941667
0.28_0.34_6.10e+00_7.32e-04_26.9__533			0.022960		0.968333		0.953333
0.28_0.34_6.10e+00_7.32e-04_25.4__501			0.019678		0.965000		0.963333
0.28_0.34_6.10e+00_7.32e-04_22.9__459			0.040423		0.948333		0.925000
0.28_0.34_6.10e+00_7.32e-04_21.9__432			0.035141		0.938333		0.943333
0.28_0.34_6.10e+00_7.32e-04_19.8__390			0.034364		0.936667		0.930000
0.28_0.34_6.10e+00_7.32e-04_23.9__475			0.036717		0.948333		0.945000
0.28_0.34_6.10e+00_7.32e-04_21.4__427			0.037152		0.955000		0.975000
0.28_0.34_6.10e+00_7.32e-04_18.8__373			0.036261		0.928333		0.920000
0.28_0.34_6.10e+00_7.32e-04_22.4__445			0.039509		0.948333		0.946667
0.28_0.34_6.10e+00_7.32e-04_25.9__511			0.020008		0.961667		0.961667
0.28_0.34_6.10e+00_7.32e-04_21.4__426			0.042605		0.938333		0.948333
0.28_0.34_6.10e+00_7.32e-04_30.0__590			0.028533		0.960000		0.945000
0.28_0.34_6.10e+00_7.32e-04_19.8__395			0.049750		0.935000		0.925000
0.28_0.34_6.10e+00_7.32e-04_19.8__397			0.044038		0.951667		0.968333
0.28_0.34_6.10e+00_7.32e-04_20.8__417			0.040658		0.956667		0.965000
0.28_0.34_6.10e+00_7.32e-04_19.8__393			0.027827		0.956667		0.936667
0.28_0.34_6.10e+00_7.32e-04_17.3__347			0.063628		0.855000		0.885000
0.28_0.34_6.10e+00_7.32e-04_28.0__558			0.025172		0.960000		0.941667
0.28_0.34_6.10e+00_7.32e-04_18.3__364			0.062121		0.851667		0.880000
0.28_0.34_6.10e+00_7.32e-04_29.0__570			0.027555		0.971667		0.951667
0.28_0.34_6.10e+00_7.32e-04_27.5__546			0.032656		0.955000		0.963333
0.28_0.34_6.10e+00_7.32e-04_24.9__496			0.034525		0.951667		0.958333
0.28_0.34_6.10e+00_7.32e-04_18.8__379			0.054728		0.886667		0.866667
0.28_0.34_6.10e+00_7.32e-04_21.4__429			0.045541		0.928333		0.898333
0.28_0.34_6.10e+00_7.32e-04_30.0__599			0.046696		0.908333		0.903333
0.28_0.34_6.10e+00_7.32e-04_25.4__508			0.024709		0.956667		0.933333
0.28_0.34_6.10e+00_7.32e-04_26.4__527			0.036375		0.951667		0.975000
0.28_0.34_6.10e+00_7.32e-04_20.8__418			0.024121		0.956667		0.945000
0.28_0.34_6.10e+00_7.32e-04_29.0__576			0.034262		0.948333		0.963333
0.28_0.34_6.10e+00_7.32e-04_21.9__438			0.023011		0.958333		0.940000
0.28_0.34_6.10e+00_7.32e-04_21.4__424			0.028654		0.950000		0.963333
0.28_0.34_6.10e+00_7.32e-04_24.9__491			0.019542		0.963333		0.961667
0.28_0.34_6.10e+00_7.32e-04_28.0__556			0.031842		0.953333		0.965000
0.28_0.34_6.10e+00_7.32e-04_20.3__400			0.033582		0.951667		0.941667
0.28_0.34_6.10e+00_7.32e-04_19.8__392			0.043786		0.925000		0.930000
0.28_0.34_6.10e+00_7.32e-04_20.8__414			0.035194		0.946667		0.960000
0.28_0.34_6.10e+00_7.32e-04_27.5__542			0.036935		0.943333		0.941667
0.28_0.34_6.10e+00_7.32e-04_19.3__383			0.031499		0.951667		0.936667
0.28_0.34_6.10e+00_7.32e-04_19.3__389			0.054450		0.883333		0.868333
0.28_0.34_6.10e+00_7.32e-04_28.0__553			0.024441		0.961667		0.951667
0.28_0.34_6.10e+00_7.32e-04_17.3__346			0.058162		0.866667		0.893333
0.28_0.34_6.10e+00_7.32e-04_18.8__378			0.047037		0.901667		0.870000
0.28_0.34_6.10e+00_7.32e-04_23.9__472			0.036177		0.940000		0.941667
0.28_0.34_6.10e+00_7.32e-04_28.5__565			0.039571		0.946667		0.945000
0.28_0.34_6.10e+00_7.32e-04_29.0__577			0.038646		0.958333		0.973333
0.28_0.34_6.10e+00_7.32e-04_17.8__357			0.063269		0.860000		0.878333
0.28_0.34_6.10e+00_7.32e-04_29.0__579			0.044584		0.930000		0.911667
0.28_0.34_6.10e+00_7.32e-04_26.9__539			0.041834		0.928333		0.921667
0.28_0.34_6.10e+00_7.32e-04_18.8__372			0.046945		0.890000		0.885000
0.28_0.34_6.10e+00_7.32e-04_24.4__482			0.037206		0.943333		0.938333
0.28_0.34_6.10e+00_7.32e-04_24.9__490			0.026365		0.966667		0.958333
0.28_0.34_6.10e+00_7.32e-04_20.8__413			0.028405		0.951667		0.946667
0.28_0.34_6.10e+00_7.32e-04_20.3__405			0.044580		0.943333		0.936667
0.28_0.34_6.10e+00_7.32e-04_26.9__536			0.032091		0.955000		0.963333
0.28_0.34_6.10e+00_7.32e-04_15.8__310			0.054364		0.883333		0.865000
0.28_0.34_6.10e+00_7.32e-04_24.9__499			0.043899		0.938333		0.916667
0.28_0.34_6.10e+00_7.32e-04_21.4__428			0.021369		0.961667		0.946667
0.28_0.34_6.10e+00_7.32e-04_22.4__442			0.033126		0.945000		0.945000
0.28_0.34_6.10e+00_7.32e-04_25.9__512			0.037518		0.940000		0.940000
0.28_0.34_6.10e+00_7.32e-04_26.9__530			0.027274		0.968333		0.953333
0.28_0.34_6.10e+00_7.32e-04_19.3__386			0.045477		0.945000		0.948333
0.28_0.34_6.10e+00_7.32e-04_19.8__394			0.037215		0.938333		0.946667
0.28_0.34_6.10e+00_7.32e-04_21.9__433			0.024812		0.965000		0.956667
0.28_0.34_6.10e+00_7.32e-04_18.3__369			0.061211		0.873333		0.858333
0.28_0.34_6.10e+00_7.32e-04_30.0__594			0.034980		0.940000		0.958333
0.28_0.34_6.10e+00_7.32e-04_22.4__443			0.023609		0.963333		0.955000
0.28_0.34_6.10e+00_7.32e-04_19.3__387			0.049215		0.925000		0.940000
0.28_0.34_6.10e+00_7.32e-04_28.5__561			0.021006		0.958333		0.960000
0.28_0.34_6.10e+00_7.32e-04_16.3__326			0.060026		0.868333		0.891667
0.28_0.34_6.10e+00_7.32e-04_22.4__447			0.034563		0.953333		0.975000
0.28_0.34_6.10e+00_7.32e-04_25.9__510			0.026586		0.973333		0.955000
0.28_0.34_6.10e+00_7.32e-04_29.5__589			0.045417		0.926667		0.911667
0.28_0.34_6.10e+00_7.32e-04_21.9__436			0.039754		0.940000		0.955000
0.28_0.34_6.10e+00_7.32e-04_20.3__404			0.033763		0.940000		0.951667
0.28_0.34_6.10e+00_7.32e-04_28.5__569			0.044333		0.926667		0.908333
0.28_0.34_6.10e+00_7.32e-04_17.3__343			0.054616		0.871667		0.856667
0.28_0.34_6.10e+00_7.32e-04_18.3__367			0.056293		0.895000		0.913333
0.28_0.34_6.10e+00_7.32e-04_17.8__358			0.053861		0.858333		0.840000
0.28_0.34_6.10e+00_7.32e-04_25.4__509			0.041663		0.931667		0.920000
0.28_0.34_6.10e+00_7.32e-04_25.9__515			0.036846		0.950000		0.945000
0.28_0.34_6.10e+00_7.32e-04_16.8__334			0.067529		0.845000		0.875000
0.28_0.34_6.10e+00_7.32e-04_29.5__583			0.025308		0.958333		0.946667
0.28_0.34_6.10e+00_7.32e-04_26.4__524			0.029248		0.941667		0.961667
0.28_0.34_6.10e+00_7.32e-04_20.8__416			0.041369		0.946667		0.953333
0.28_0.34_6.10e+00_7.32e-04_16.8__336			0.059382		0.870000		0.890000
0.28_0.34_6.10e+00_7.32e-04_23.9__473			0.022055		0.963333		0.953333
0.28_0.34_6.10e+00_7.32e-04_15.8__311			0.056745		0.861667		0.866667
0.28_0.34_6.10e+00_7.32e-04_19.3__381			0.035066		0.925000		0.940000
0.28_0.34_6.10e+00_7.32e-04_16.8__333			0.053406		0.878333		0.865000
0.28_0.34_6.10e+00_7.32e-04_30.0__596			0.034496		0.945000		0.955000
0.28_0.34_6.10e+00_7.32e-04_17.3__344			0.064782		0.850000		0.875000
0.28_0.34_6.10e+00_7.32e-04_14.7__298			0.066294		0.780000		0.755000
0.28_0.34_6.10e+00_7.32e-04_16.3__327			0.064097		0.851667		0.880000
0.28_0.34_6.10e+00_7.32e-04_23.4__469			0.039943		0.953333		0.920000
0.28_0.34_6.10e+00_7.32e-04_15.3__307			0.068314		0.846667		0.881667
0.28_0.34_6.10e+00_7.32e-04_18.8__375			0.052180		0.926667		0.923333
0.28_0.34_6.10e+00_7.32e-04_18.8__376			0.046835		0.928333		0.948333
0.28_0.34_6.10e+00_7.32e-04_27.5__544			0.031717		0.941667		0.960000
0.28_0.34_6.10e+00_7.32e-04_20.3__403			0.026180		0.958333		0.943333
0.28_0.34_6.10e+00_7.32e-04_20.3__401			0.027758		0.941667		0.956667
0.28_0.34_6.10e+00_7.32e-04_18.3__361			0.037016		0.918333		0.931667
0.28_0.34_6.10e+00_7.32e-04_21.4__422			0.038371		0.938333		0.943333
0.28_0.34_6.10e+00_7.32e-04_19.3__380			0.037682		0.911667		0.895000
0.28_0.34_6.10e+00_7.32e-04_19.3__385			0.051188		0.928333		0.921667
0.28_0.34_6.10e+00_7.32e-04_22.4__449			0.042256		0.938333		0.920000
0.28_0.34_6.10e+00_7.32e-04_29.0__575			0.039912		0.948333		0.946667
0.28_0.34_6.10e+00_7.32e-04_26.9__535			0.037875		0.950000		0.945000
0.28_0.34_6.10e+00_7.32e-04_14.2__286			0.068114		0.813333		0.803333
0.28_0.34_6.10e+00_7.32e-04_29.5__588			0.026882		0.958333		0.940000
0.28_0.34_6.10e+00_7.32e-04_25.9__513			0.022377		0.966667		0.956667
0.28_0.34_6.10e+00_7.32e-04_23.9__471			0.020246		0.960000		0.961667
0.28_0.34_6.10e+00_7.32e-04_14.7__290			0.073204		0.816667		0.806667
0.28_0.34_6.10e+00_7.32e-04_18.3__365			0.061718		0.906667		0.888333
0.28_0.34_6.10e+00_7.32e-04_24.4__487			0.034312		0.958333		0.973333
0.28_0.34_6.10e+00_7.32e-04_28.0__552			0.036529		0.943333		0.941667
0.28_0.34_6.10e+00_7.32e-04_14.2__283			0.075810		0.795000		0.778333
0.28_0.34_6.10e+00_7.32e-04_17.8__352			0.050383		0.883333		0.886667
0.28_0.34_6.10e+00_7.32e-04_21.9__430			0.027088		0.960000		0.950000
0.28_0.34_6.10e+00_7.32e-04_15.8__314			0.069089		0.841667		0.873333
0.28_0.34_6.10e+00_7.32e-04_16.8__338			0.053711		0.863333		0.843333
0.28_0.34_6.10e+00_7.32e-04_15.8__316			0.060612		0.865000		0.886667
