ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,3,30,0.6451668,0.05182746495354671,0.016389283460576037,0.568333,0.701667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5084745762711864,3,30,0.609,0.04534646051849642,0.014339809906534863,0.561667,0.695,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,3,30,0.5933334,0.034916102268151346,0.011041441018272948,0.541667,0.646667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,3,30,0.5933333,0.03297031212419236,0.010426128147911216,0.548333,0.651667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.0338983050847457,3,30,0.5968334000000001,0.04169591980624591,0.013185407572346368,0.555,0.673333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.542372881355932,3,30,0.5856667,0.03825822690626307,0.012098313626332851,0.556667,0.688333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.0508474576271185,3,30,0.5941666,0.041768352956647846,0.013208312945683535,0.52,0.653333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.559322033898305,3,30,0.5613333,0.06548403141572422,0.0207078689643709,0.465,0.685,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.067796610169491,3,30,0.5238333999999999,0.09735409114065122,0.030786066754007767,0.328333,0.653333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.576271186440678,3,30,0.4773332999999999,0.11237936599458301,0.03553747585485559,0.328333,0.603333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.084745762711864,3,30,0.45999999999999996,0.12775360012844167,0.040399235569225526,0.313333,0.601667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.59322033898305,3,30,0.5723333,0.08102805367011272,0.02562332039679219,0.356667,0.661667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.101694915254237,3,30,0.5721666999999999,0.08149457128075051,0.02577084621861169,0.356667,0.663333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.610169491525424,3,30,0.5971666,0.030020940429418014,0.00949345492571943,0.555,0.658333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.11864406779661,3,30,0.5966667000000001,0.03295161623434513,0.010420215988431129,0.556667,0.656667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.627118644067796,3,30,0.6023333,0.04162001299335052,0.013161403730479,0.556667,0.685,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.135593220338983,3,30,0.6046667000000001,0.037694390322551896,0.0119200128430673,0.563333,0.675,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.64406779661017,3,30,0.6061667,0.037474851321475156,0.011850588515203235,0.563333,0.686667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.152542372881356,3,30,0.6080001,0.0393214366823831,0.012434530078642552,0.563333,0.695,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.661016949152541,3,30,0.6128334000000001,0.04542702817633287,0.014365287636985694,0.563333,0.705,10
