id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_29.0__574			0.019444		0.970000		0.976667
0.28_0.34_6.10e+00_7.32e-04_27.5__540			0.017606		0.976667		0.970000
0.28_0.34_6.10e+00_7.32e-04_30.0__591			0.015222		0.978333		0.976667
0.28_0.34_6.10e+00_7.32e-04_29.0__575			0.030194		0.968333		0.946667
0.28_0.34_6.10e+00_7.32e-04_29.5__581			0.016215		0.976667		0.971667
0.28_0.34_6.10e+00_7.32e-04_29.0__579			0.028572		0.951667		0.958333
0.28_0.34_6.10e+00_7.32e-04_30.0__597			0.023916		0.976667		0.983333
0.28_0.34_6.10e+00_7.32e-04_29.5__580			0.019091		0.975000		0.970000
0.28_0.34_6.10e+00_7.32e-04_30.0__596			0.025034		0.956667		0.963333
0.28_0.34_6.10e+00_7.32e-04_27.5__543			0.015631		0.975000		0.966667
0.28_0.34_6.10e+00_7.32e-04_28.0__554			0.020078		0.970000		0.976667
0.28_0.34_6.10e+00_7.32e-04_28.5__569			0.028925		0.950000		0.953333
0.28_0.34_6.10e+00_7.32e-04_26.9__530			0.019052		0.975000		0.966667
0.28_0.34_6.10e+00_7.32e-04_30.0__598			0.018714		0.971667		0.971667
0.28_0.34_6.10e+00_7.32e-04_29.0__578			0.019414		0.968333		0.968333
0.28_0.34_6.10e+00_7.32e-04_28.0__557			0.023998		0.970000		0.981667
0.28_0.34_6.10e+00_7.32e-04_30.0__590			0.019328		0.976667		0.966667
0.28_0.34_6.10e+00_7.32e-04_26.9__539			0.029209		0.953333		0.950000
0.28_0.34_6.10e+00_7.32e-04_27.5__547			0.024051		0.976667		0.981667
0.28_0.34_6.10e+00_7.32e-04_28.0__558			0.019269		0.968333		0.970000
0.28_0.34_6.10e+00_7.32e-04_30.0__593			0.015654		0.978333		0.965000
0.28_0.34_6.10e+00_7.32e-04_29.0__577			0.022935		0.976667		0.983333
0.28_0.34_6.10e+00_7.32e-04_28.0__556			0.024531		0.960000		0.961667
0.28_0.34_6.10e+00_7.32e-04_29.5__587			0.023968		0.978333		0.980000
0.28_0.34_6.10e+00_7.32e-04_28.5__567			0.023650		0.975000		0.980000
0.28_0.34_6.10e+00_7.32e-04_24.9__494			0.019166		0.971667		0.978333
0.28_0.34_6.10e+00_7.32e-04_29.5__586			0.025277		0.956667		0.963333
0.28_0.34_6.10e+00_7.32e-04_29.0__571			0.015846		0.975000		0.973333
0.28_0.34_6.10e+00_7.32e-04_25.9__510			0.017400		0.978333		0.966667
0.28_0.34_6.10e+00_7.32e-04_25.4__508			0.020212		0.965000		0.971667
0.28_0.34_6.10e+00_7.32e-04_28.0__555			0.030275		0.963333		0.943333
0.28_0.34_6.10e+00_7.32e-04_26.4__523			0.015662		0.978333		0.968333
0.28_0.34_6.10e+00_7.32e-04_28.0__552			0.026506		0.961667		0.971667
0.28_0.34_6.10e+00_7.32e-04_28.5__565			0.032370		0.956667		0.935000
0.28_0.34_6.10e+00_7.32e-04_21.4__425			0.030501		0.960000		0.940000
0.28_0.34_6.10e+00_7.32e-04_29.5__583			0.016517		0.976667		0.966667
0.28_0.34_6.10e+00_7.32e-04_25.4__505			0.029949		0.961667		0.955000
0.28_0.34_6.10e+00_7.32e-04_28.0__553			0.015599		0.976667		0.966667
0.28_0.34_6.10e+00_7.32e-04_27.5__541			0.016875		0.971667		0.976667
0.28_0.34_6.10e+00_7.32e-04_26.4__524			0.019500		0.971667		0.978333
0.28_0.34_6.10e+00_7.32e-04_26.4__528			0.020257		0.963333		0.971667
0.28_0.34_6.10e+00_7.32e-04_22.9__453			0.016559		0.970000		0.966667
0.28_0.34_6.10e+00_7.32e-04_24.9__491			0.016279		0.976667		0.973333
0.28_0.34_6.10e+00_7.32e-04_24.4__483			0.016624		0.968333		0.960000
0.28_0.34_6.10e+00_7.32e-04_24.9__498			0.020522		0.965000		0.973333
0.28_0.34_6.10e+00_7.32e-04_26.9__536			0.023886		0.963333		0.961667
0.28_0.34_6.10e+00_7.32e-04_24.4__485			0.031328		0.960000		0.951667
0.28_0.34_6.10e+00_7.32e-04_23.4__468			0.019580		0.965000		0.971667
0.28_0.34_6.10e+00_7.32e-04_23.9__478			0.019244		0.970000		0.975000
0.28_0.34_6.10e+00_7.32e-04_27.5__546			0.024345		0.956667		0.961667
