ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,3,30,0.6355000000000001,0.04797140480652099,0.015169890174655533,0.571667,0.705,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5084745762711864,3,30,0.6138332,0.05227567855088598,0.016531021045161003,0.55,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,3,30,0.6016666999999999,0.047797275092136084,0.015114825524078444,0.533333,0.7,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,3,30,0.5923333,0.02893377794608467,0.009149663962317608,0.548333,0.648333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.0338983050847457,3,30,0.5893334000000001,0.03997064169612488,0.012639826729825044,0.541667,0.67,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.542372881355932,3,30,0.5673332999999999,0.09380229761110447,0.02966289102080614,0.331667,0.673333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.0508474576271185,3,30,0.5323334,0.11168789029970974,0.035318812040610874,0.356667,0.696667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.559322033898305,3,30,0.4711668000000001,0.1202237020861066,0.03801807273296334,0.331667,0.661667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.067796610169491,3,30,0.4110001,0.11335835028934668,0.035847057871354275,0.313333,0.611667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.576271186440678,3,30,0.4115000999999999,0.11177151147711017,0.03534525537873191,0.315,0.596667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.084745762711864,3,30,0.46566670000000004,0.12530000423698676,0.039623340421762646,0.315,0.633333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.59322033898305,3,30,0.4793334000000001,0.12657202936422318,0.040025590086065904,0.313333,0.615,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.101694915254237,3,30,0.5576666,0.0916926711941097,0.028995768571829776,0.313333,0.648333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.610169491525424,3,30,0.5866667,0.037217996444521895,0.011769363871273775,0.521667,0.638333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.11864406779661,3,30,0.5974999000000001,0.04010208809041141,0.012681393729441241,0.525,0.663333,10
