id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_8.0__157			0.171438		0.388333		0.428333
0.28_0.34_6.10e+00_7.32e-04_3.0__51			0.129142		0.635000		0.655000
0.28_0.34_6.10e+00_7.32e-04_4.5__87			0.129958		0.563333		0.585000
0.28_0.34_6.10e+00_7.32e-04_7.5__143			0.163684		0.476667		0.460000
0.28_0.34_6.10e+00_7.32e-04_6.5__126			0.157637		0.515000		0.546667
0.28_0.34_6.10e+00_7.32e-04_5.5__106			0.147418		0.528333		0.555000
0.28_0.34_6.10e+00_7.32e-04_5.0__98			0.145195		0.596667		0.566667
0.28_0.34_6.10e+00_7.32e-04_11.5__227			0.176144		0.366667		0.411667
0.28_0.34_6.10e+00_7.32e-04_11.0__217			0.178807		0.320000		0.356667
0.28_0.34_6.10e+00_7.32e-04_6.0__115			0.159430		0.545000		0.591667
0.28_0.34_6.10e+00_7.32e-04_1.0__19			0.129760		0.585000		0.598333
0.28_0.34_6.10e+00_7.32e-04_3.0__59			0.135089		0.600000		0.613333
0.28_0.34_6.10e+00_7.32e-04_4.5__84			0.156791		0.581667		0.595000
0.28_0.34_6.10e+00_7.32e-04_6.5__123			0.164182		0.476667		0.456667
0.28_0.34_6.10e+00_7.32e-04_3.0__58			0.127422		0.693333		0.655000
0.28_0.34_6.10e+00_7.32e-04_8.0__156			0.169599		0.485000		0.516667
0.28_0.34_6.10e+00_7.32e-04_8.0__158			0.175996		0.298333		0.328333
0.28_0.34_6.10e+00_7.32e-04_8.5__161			0.167325		0.510000		0.520000
0.28_0.34_6.10e+00_7.32e-04_8.5__162			0.178178		0.348333		0.333333
0.28_0.34_6.10e+00_7.32e-04_5.5__101			0.147437		0.590000		0.613333
0.28_0.34_6.10e+00_7.32e-04_9.0__176			0.171393		0.481667		0.516667
0.28_0.34_6.10e+00_7.32e-04_4.0__71			0.124727		0.670000		0.676667
0.28_0.34_6.10e+00_7.32e-04_10.5__208			0.182614		0.298333		0.328333
0.28_0.34_6.10e+00_7.32e-04_1.0__11			0.145336		0.541667		0.585000
0.28_0.34_6.10e+00_7.32e-04_15.5__306			0.180101		0.346667		0.355000
0.28_0.34_6.10e+00_7.32e-04_6.0__119			0.149124		0.593333		0.613333
0.28_0.34_6.10e+00_7.32e-04_8.5__168			0.181096		0.298333		0.328333
0.28_0.34_6.10e+00_7.32e-04_2.5__49			0.133738		0.611667		0.621667
0.28_0.34_6.10e+00_7.32e-04_1.5__28			0.130901		0.636667		0.618333
0.28_0.34_6.10e+00_7.32e-04_7.0__135			0.168840		0.443333		0.460000
0.28_0.34_6.10e+00_7.32e-04_4.5__83			0.129575		0.578333		0.568333
0.28_0.34_6.10e+00_7.32e-04_13.0__257			0.179284		0.320000		0.356667
0.28_0.34_6.10e+00_7.32e-04_2.0__34			0.156159		0.553333		0.588333
0.28_0.34_6.10e+00_7.32e-04_10.5__207			0.178223		0.320000		0.356667
0.28_0.34_6.10e+00_7.32e-04_5.0__91			0.146331		0.556667		0.580000
0.28_0.34_6.10e+00_7.32e-04_14.5__286			0.180118		0.346667		0.355000
0.28_0.34_6.10e+00_7.32e-04_4.0__75			0.144840		0.641667		0.698333
0.28_0.34_6.10e+00_7.32e-04_2.0__35			0.160708		0.563333		0.620000
0.28_0.34_6.10e+00_7.32e-04_5.0__92			0.150091		0.540000		0.526667
0.28_0.34_6.10e+00_7.32e-04_5.5__103			0.146903		0.531667		0.528333
0.28_0.34_6.10e+00_7.32e-04_5.0__99			0.143727		0.605000		0.616667
0.28_0.34_6.10e+00_7.32e-04_2.5__41			0.132890		0.641667		0.653333
0.28_0.34_6.10e+00_7.32e-04_9.5__183			0.174460		0.368333		0.368333
0.28_0.34_6.10e+00_7.32e-04_3.5__61			0.126952		0.655000		0.671667
0.28_0.34_6.10e+00_7.32e-04_3.5__65			0.147123		0.635000		0.675000
0.28_0.34_6.10e+00_7.32e-04_12.0__238			0.184027		0.298333		0.328333
0.28_0.34_6.10e+00_7.32e-04_1.5__23			0.119566		0.575000		0.566667
0.28_0.34_6.10e+00_7.32e-04_11.5__229			0.179891		0.453333		0.460000
0.28_0.34_6.10e+00_7.32e-04_8.5__160			0.166921		0.538333		0.571667
0.28_0.34_6.10e+00_7.32e-04_10.0__191			0.171852		0.653333		0.648333
0.28_0.34_6.10e+00_7.32e-04_5.0__96			0.139140		0.543333		0.561667
0.28_0.34_6.10e+00_7.32e-04_9.0__178			0.180231		0.298333		0.328333
