run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,test accuracy
75,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.698333
55,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.696667
71,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.676667
65,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.675
61,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.671667
48,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.666667
38,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.665
85,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.665
95,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.665
67,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.665
88,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.658333
241,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,12.5,0.656667
68,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.655
58,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.655
51,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.655
45,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.653333
78,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.653333
41,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.653333
79,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.651667
191,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,10.0,0.648333
63,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.646667
105,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.641667
90,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.636667
80,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.636667
100,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.635
261,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,13.5,0.633333
29,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.633333
77,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.631667
69,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.63
39,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.63
70,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.626667
89,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.626667
50,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.625
31,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.623333
471,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,24.0,0.623333
109,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.623333
110,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.621667
49,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.621667
60,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.621667
35,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.62
9,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.62
8,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.62
28,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.618333
151,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.0,0.618333
99,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.616667
1,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.615
119,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.613333
101,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.613333
40,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.613333
59,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.613333
121,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.5,0.613333
221,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,11.5,0.61
30,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.61
81,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.606667
20,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.603333
111,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.603333
120,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.5,0.6
19,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.598333
12,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.598333
10,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.596667
84,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.595
54,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.595
57,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.595
44,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.595
139,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.0,0.595
64,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.593333
22,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.593333
0,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.593333
115,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.591667
130,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.0,0.591667
74,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.591667
47,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.59
4,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.59
34,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.588333
140,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.5,0.588333
24,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.588333
86,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.586667
87,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.585
11,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.585
21,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.585
3,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.585
56,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.583333
66,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.583333
7,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.583333
62,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.581667
