ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,0.5,0.5879999999999999,0.025757556725055347,0.008145254621216232,0.541667,0.62,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.0,0.5760000000000001,0.02359891973045474,0.007462633666772382,0.521667,0.598333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,1.5,0.5824999,0.03190674780756504,0.010089799580048934,0.531667,0.633333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.0,0.6024999,0.032491724493237395,0.010274785450531036,0.563333,0.665,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,2.5,0.6108334,0.03680305777815515,0.011638148743774614,0.566667,0.666667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.0,0.6161666999999998,0.04152236687229873,0.013130525315758585,0.571667,0.696667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3.5,0.6323334,0.03615134203502454,0.011432058130246418,0.581667,0.675,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.0,0.6223333999999999,0.0491985247705661,0.01555793957952018,0.555,0.698333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,4.5,0.6060000999999999,0.04145645670513154,0.013109682690837508,0.531667,0.665,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.0,0.5750002000000001,0.0494225919253758,0.0156287958353234,0.52,0.665,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,5.5,0.5646666000000001,0.061089951489040575,0.019318338885456303,0.473333,0.641667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.0,0.5466667000000001,0.058230054605370646,0.018413960082894844,0.455,0.621667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,6.5,0.5031667000000001,0.07540196161175121,0.023844193873771454,0.398333,0.613333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.0,0.4936667,0.07105372580433611,0.02246916097827816,0.386667,0.595,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,7.5,0.46749979999999997,0.08043569780583183,0.02543600102514367,0.328333,0.588333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.0,0.44116659999999996,0.10013267273106549,0.031664731403039985,0.328333,0.618333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,8.5,0.4323333,0.08948487243731326,0.028297601303153286,0.328333,0.571667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.0,0.4273333,0.0907417271001727,0.02869505364539717,0.328333,0.54,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,9.5,0.4166666,0.08410391426774111,0.02659599292215943,0.328333,0.543333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,10.0,0.4131667,0.10820198310674965,0.03421647139643908,0.328333,0.648333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,10.5,0.404,0.09203857484410187,0.02910515291032387,0.328333,0.565,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,11.0,0.3981666,0.08855291561697262,0.02800289067983281,0.328333,0.573333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,11.5,0.4103334,0.09614731854953967,0.030404451753430213,0.328333,0.61,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,12.0,0.3796667,0.04978843164843732,0.015744484513667365,0.328333,0.461667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,12.5,0.3908333,0.1024492494056881,0.03239729726966261,0.328333,0.656667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,13.0,0.3856667,0.08209139185897901,0.02595957745677777,0.328333,0.548333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,13.5,0.38833329999999994,0.10113245073999635,0.03198088896931695,0.328333,0.633333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,14.0,0.3693333,0.06286983672998962,0.01988118801896796,0.328333,0.531667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,14.5,0.38083329999999993,0.08402401148620159,0.026570725444054658,0.328333,0.58,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,15.0,0.363,0.053413256088727636,0.016890754648623607,0.328333,0.506667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,15.5,0.3411667,0.014530667018795462,0.004595000370088235,0.321667,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,16.0,0.35116659999999994,0.0391738770361633,0.012387867621364228,0.315,0.453333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,16.5,0.33916659999999993,0.01581629883098795,0.005001552845978045,0.315,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,17.0,0.3415,0.01348181216800377,0.004263323343746454,0.328333,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,17.5,0.37266659999999996,0.055478808322938326,0.01754393961723914,0.328333,0.488333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,18.0,0.3435,0.01953874593382768,0.006178693977424903,0.315,0.376667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,18.5,0.3409999999999999,0.013635465741953984,0.004311912870177233,0.328333,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,19.0,0.35,0.03299835574018128,0.010434996317946425,0.315,0.43,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,19.5,0.3389999999999999,0.01589316182094256,0.005025859057580765,0.315,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,20.0,0.34016669999999993,0.014282173558904343,0.004516419838397072,0.326667,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,20.5,0.33999999999999997,0.01446579618732868,0.00457448641197384,0.325,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,21.0,0.3408333,0.015619853229144007,0.004939431292163101,0.316667,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,21.5,0.3389999999999999,0.01589316182094256,0.005025859057580765,0.315,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,22.0,0.3395,0.015714477875159887,0.004969354232582837,0.315,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,22.5,0.34249999999999997,0.013726832336704626,0.004340805524323795,0.328333,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,23.0,0.3389999999999999,0.01589316182094256,0.005025859057580765,0.315,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,23.5,0.34099999999999997,0.015893161820942584,0.005025859057580773,0.315,0.363333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,24.0,0.3698333,0.09008370449143398,0.028486968625847153,0.328333,0.623333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,24.5,0.3526667,0.0373026649838855,0.011796138414328637,0.328333,0.451667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,25.0,0.3526667,0.0373026649838855,0.011796138414328637,0.328333,0.451667,10
