id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_17.0__335			0.153962		0.516667		0.550000
0.28_0.34_6.10e+00_7.32e-04_7.0__130			0.139701		0.575000		0.605000
0.28_0.34_6.10e+00_7.32e-04_14.5__287			0.161391		0.550000		0.553333
0.28_0.34_6.10e+00_7.32e-04_1.0__17			0.020134		0.978333		0.983333
0.28_0.34_6.10e+00_7.32e-04_16.0__311			0.166465		0.413333		0.393333
0.28_0.34_6.10e+00_7.32e-04_2.0__38			0.016292		0.970000		0.975000
0.28_0.34_6.10e+00_7.32e-04_12.5__246			0.162635		0.575000		0.593333
0.28_0.34_6.10e+00_7.32e-04_16.0__310			0.175695		0.553333		0.583333
0.28_0.34_6.10e+00_7.32e-04_19.5__387			0.143313		0.595000		0.570000
0.28_0.34_6.10e+00_7.32e-04_1.0__15			0.030350		0.960000		0.950000
0.28_0.34_6.10e+00_7.32e-04_15.5__306			0.159380		0.598333		0.615000
0.28_0.34_6.10e+00_7.32e-04_9.0__171			0.175165		0.351667		0.315000
0.28_0.34_6.10e+00_7.32e-04_12.0__237			0.176512		0.365000		0.343333
0.28_0.34_6.10e+00_7.32e-04_3.0__56			0.047716		0.896667		0.920000
0.28_0.34_6.10e+00_7.32e-04_16.5__327			0.166335		0.581667		0.590000
0.28_0.34_6.10e+00_7.32e-04_17.0__330			0.180361		0.570000		0.611667
0.28_0.34_6.10e+00_7.32e-04_6.0__118			0.139791		0.623333		0.603333
0.28_0.34_6.10e+00_7.32e-04_10.5__207			0.172147		0.446667		0.411667
0.28_0.34_6.10e+00_7.32e-04_1.5__20			0.015418		0.976667		0.970000
0.28_0.34_6.10e+00_7.32e-04_20.5__408			0.140882		0.598333		0.576667
0.28_0.34_6.10e+00_7.32e-04_0.5__2			0.027967		0.966667		0.973333
0.28_0.34_6.10e+00_7.32e-04_4.5__87			0.124845		0.621667		0.660000
0.28_0.34_6.10e+00_7.32e-04_14.5__280			0.175411		0.571667		0.611667
0.28_0.34_6.10e+00_7.32e-04_1.5__29			0.024777		0.951667		0.956667
0.28_0.34_6.10e+00_7.32e-04_20.0__390			0.142841		0.571667		0.613333
0.28_0.34_6.10e+00_7.32e-04_13.0__258			0.163373		0.428333		0.400000
0.28_0.34_6.10e+00_7.32e-04_3.5__62			0.067203		0.850000		0.826667
0.28_0.34_6.10e+00_7.32e-04_13.0__250			0.182616		0.565000		0.610000
0.28_0.34_6.10e+00_7.32e-04_7.0__133			0.127230		0.563333		0.556667
0.28_0.34_6.10e+00_7.32e-04_22.0__435			0.153170		0.535000		0.555000
0.28_0.34_6.10e+00_7.32e-04_5.5__103			0.127648		0.568333		0.558333
0.28_0.34_6.10e+00_7.32e-04_5.0__97			0.134773		0.663333		0.708333
0.28_0.34_6.10e+00_7.32e-04_1.5__27			0.021180		0.978333		0.976667
0.28_0.34_6.10e+00_7.32e-04_19.5__381			0.140705		0.566667		0.575000
0.28_0.34_6.10e+00_7.32e-04_14.5__283			0.158391		0.478333		0.465000
0.28_0.34_6.10e+00_7.32e-04_15.5__307			0.165516		0.560000		0.570000
0.28_0.34_6.10e+00_7.32e-04_11.5__224			0.243799		0.345000		0.331667
0.28_0.34_6.10e+00_7.32e-04_6.5__124			0.189151		0.518333		0.523333
0.28_0.34_6.10e+00_7.32e-04_4.0__76			0.066737		0.800000		0.811667
0.28_0.34_6.10e+00_7.32e-04_10.5__204			0.242770		0.345000		0.331667
0.28_0.34_6.10e+00_7.32e-04_15.5__309			0.141088		0.590000		0.635000
0.28_0.34_6.10e+00_7.32e-04_6.5__126			0.132697		0.618333		0.620000
0.28_0.34_6.10e+00_7.32e-04_16.5__323			0.152763		0.505000		0.486667
0.28_0.34_6.10e+00_7.32e-04_7.5__143			0.184818		0.330000		0.330000
0.28_0.34_6.10e+00_7.32e-04_23.0__457			0.171952		0.443333		0.440000
0.28_0.34_6.10e+00_7.32e-04_1.5__23			0.015647		0.980000		0.970000
0.28_0.34_6.10e+00_7.32e-04_20.0__399			0.136236		0.663333		0.693333
0.28_0.34_6.10e+00_7.32e-04_23.0__454			0.173899		0.563333		0.588333
0.28_0.34_6.10e+00_7.32e-04_11.5__228			0.190444		0.451667		0.431667
0.28_0.34_6.10e+00_7.32e-04_8.5__168			0.194330		0.375000		0.336667
0.28_0.34_6.10e+00_7.32e-04_17.5__341			0.168368		0.391667		0.375000
0.28_0.34_6.10e+00_7.32e-04_3.5__64			0.079558		0.845000		0.873333
0.28_0.34_6.10e+00_7.32e-04_8.0__156			0.149704		0.610000		0.623333
0.28_0.34_6.10e+00_7.32e-04_15.5__302			0.172134		0.368333		0.355000
0.28_0.34_6.10e+00_7.32e-04_14.5__289			0.144675		0.576667		0.613333
0.28_0.34_6.10e+00_7.32e-04_13.5__260			0.181133		0.566667		0.608333
0.28_0.34_6.10e+00_7.32e-04_0.5__5			0.030795		0.956667		0.946667
0.28_0.34_6.10e+00_7.32e-04_4.5__84			0.134546		0.551667		0.550000
0.28_0.34_6.10e+00_7.32e-04_5.0__98			0.118698		0.648333		0.603333
0.28_0.34_6.10e+00_7.32e-04_5.5__101			0.134414		0.623333		0.610000
0.28_0.34_6.10e+00_7.32e-04_11.5__226			0.168174		0.608333		0.620000
0.28_0.34_6.10e+00_7.32e-04_8.0__157			0.143826		0.545000		0.533333
0.28_0.34_6.10e+00_7.32e-04_11.0__217			0.168498		0.501667		0.461667
0.28_0.34_6.10e+00_7.32e-04_21.5__426			0.151392		0.585000		0.601667
0.28_0.34_6.10e+00_7.32e-04_4.5__80			0.087041		0.791667		0.788333
0.28_0.34_6.10e+00_7.32e-04_4.0__77			0.089892		0.783333		0.805000
0.28_0.34_6.10e+00_7.32e-04_2.5__46			0.030018		0.956667		0.950000
0.28_0.34_6.10e+00_7.32e-04_9.0__179			0.180546		0.426667		0.455000
0.28_0.34_6.10e+00_7.32e-04_3.5__63			0.063791		0.853333		0.821667
0.28_0.34_6.10e+00_7.32e-04_13.0__257			0.149482		0.533333		0.525000
0.28_0.34_6.10e+00_7.32e-04_9.0__178			0.194634		0.375000		0.336667
0.28_0.34_6.10e+00_7.32e-04_10.0__192			0.146449		0.461667		0.440000
0.28_0.34_6.10e+00_7.32e-04_11.0__215			0.165960		0.563333		0.573333
0.28_0.34_6.10e+00_7.32e-04_14.5__284			0.217346		0.351667		0.338333
0.28_0.34_6.10e+00_7.32e-04_9.5__185			0.149036		0.546667		0.560000
0.28_0.34_6.10e+00_7.32e-04_15.0__292			0.169986		0.373333		0.358333
0.28_0.34_6.10e+00_7.32e-04_1.5__22			0.026336		0.968333		0.978333
0.28_0.34_6.10e+00_7.32e-04_5.5__104			0.185910		0.538333		0.535000
0.28_0.34_6.10e+00_7.32e-04_2.5__44			0.023018		0.965000		0.975000
0.28_0.34_6.10e+00_7.32e-04_13.5__268			0.167992		0.425000		0.376667
0.28_0.34_6.10e+00_7.32e-04_13.5__267			0.146691		0.531667		0.530000
0.28_0.34_6.10e+00_7.32e-04_2.5__49			0.038104		0.950000		0.948333
0.28_0.34_6.10e+00_7.32e-04_13.0__253			0.154189		0.511667		0.498333
0.28_0.34_6.10e+00_7.32e-04_9.5__181			0.175475		0.351667		0.315000
0.28_0.34_6.10e+00_7.32e-04_3.0__51			0.038575		0.936667		0.943333
0.28_0.34_6.10e+00_7.32e-04_21.5__420			0.145325		0.565000		0.603333
0.28_0.34_6.10e+00_7.32e-04_15.5__308			0.144668		0.646667		0.618333
0.28_0.34_6.10e+00_7.32e-04_23.0__458			0.143462		0.511667		0.478333
0.28_0.34_6.10e+00_7.32e-04_20.0__397			0.150008		0.530000		0.538333
0.28_0.34_6.10e+00_7.32e-04_17.5__346			0.165293		0.616667		0.616667
0.28_0.34_6.10e+00_7.32e-04_3.5__61			0.052222		0.856667		0.861667
