run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy
34,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.986667
7,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.983333
17,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.983333
4,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.98
14,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.98
37,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.98
22,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.978333
11,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.978333
24,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.978333
1,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.978333
18,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.976667
27,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.976667
21,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.976667
28,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.976667
8,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.976667
31,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.975
44,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.975
38,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.975
13,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.973333
12,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.973333
3,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.973333
2,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.973333
10,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.971667
0,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.97
23,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.97
32,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.97
20,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.97
30,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.968333
36,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.965
47,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.965
39,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.963333
6,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.961667
16,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.961667
40,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.961667
26,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.961667
33,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.96
9,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.958333
41,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.958333
19,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.958333
48,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.956667
25,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.956667
29,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.956667
35,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.953333
15,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.95
46,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.95
49,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.948333
43,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.946667
5,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.946667
51,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.943333
45,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.933333
58,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.93
42,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.928333
56,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.92
50,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.915
54,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.893333
59,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.881667
66,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.876667
55,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.876667
57,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.875
67,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.875
64,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.873333
53,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.868333
61,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.861667
60,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.856667
52,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.853333
65,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.843333
62,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.826667
63,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.821667
74,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.818333
76,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.811667
