ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,0.5,30,0.9701666,0.011370446861149384,0.0035956510095144366,0.946667,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.0,30,0.9706666,0.010634156480156006,0.0033628155471932143,0.95,0.983333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,1.5,30,0.9701668,0.008799765714052945,0.002782730253226527,0.956667,0.978333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.0,30,0.9696666,0.009869672967676732,0.0031210646338851876,0.953333,0.986667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,2.5,30,0.9523332999999999,0.014168428651602704,0.004480450540465282,0.928333,0.975,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.0,30,0.8956666,0.02971260446791342,0.009395950533430177,0.853333,0.943333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,3.5,30,0.8425001,0.03248222591048832,0.01027178173492797,0.778333,0.876667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.0,30,0.7868333000000001,0.026971002033253744,0.008528979720211424,0.736667,0.818333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,4.5,30,0.6934999000000001,0.08809528252150868,0.02785817438839888,0.55,0.796667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,5.0,30,0.6284999000000001,0.057458844424026205,0.01817008201011885,0.53,0.708333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,5.5,30,0.6098333,0.048986377421687335,0.015490852697317854,0.535,0.695,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,6.0,30,0.5963333000000001,0.04070994024409489,0.012873613458069092,0.523333,0.661667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,6.5,30,0.6001667,0.04404297410497061,0.013927611309952296,0.523333,0.658333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15,7.0,30,0.6011667,0.04673310786215222,0.014778306298272322,0.523333,0.661667,10
