id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_8.0__77			0.127250		0.571667		0.573333
0.28_0.34_6.10e+00_7.32e-04_50.0__496			0.135166		0.548333		0.566667
0.28_0.34_6.10e+00_7.32e-04_1.0__5			0.185124		0.548333		0.581667
0.28_0.34_6.10e+00_7.32e-04_43.0__427			0.126654		0.638333		0.638333
0.28_0.34_6.10e+00_7.32e-04_19.0__181			0.127031		0.640000		0.650000
0.28_0.34_6.10e+00_7.32e-04_16.0__151			0.125050		0.655000		0.673333
0.28_0.34_6.10e+00_7.32e-04_30.0__295			0.149781		0.646667		0.696667
0.28_0.34_6.10e+00_7.32e-04_34.0__337			0.126462		0.616667		0.618333
0.28_0.34_6.10e+00_7.32e-04_2.0__13			0.111527		0.600000		0.586667
0.28_0.34_6.10e+00_7.32e-04_1.0__7			0.133646		0.611667		0.603333
0.28_0.34_6.10e+00_7.32e-04_23.0__227			0.125458		0.621667		0.618333
0.28_0.34_6.10e+00_7.32e-04_18.0__170			0.119171		0.581667		0.623333
0.28_0.34_6.10e+00_7.32e-04_45.0__444			0.150783		0.561667		0.595000
0.28_0.34_6.10e+00_7.32e-04_8.0__70			0.119892		0.583333		0.621667
0.28_0.34_6.10e+00_7.32e-04_13.0__123			0.117339		0.580000		0.570000
0.28_0.34_6.10e+00_7.32e-04_48.0__471			0.133645		0.641667		0.665000
0.28_0.34_6.10e+00_7.32e-04_17.0__160			0.119606		0.580000		0.621667
0.28_0.34_6.10e+00_7.32e-04_41.0__401			0.131292		0.646667		0.668333
0.28_0.34_6.10e+00_7.32e-04_18.0__179			0.130967		0.638333		0.645000
0.28_0.34_6.10e+00_7.32e-04_60.0__597			0.127790		0.636667		0.646667
0.28_0.34_6.10e+00_7.32e-04_26.0__253			0.118864		0.586667		0.568333
0.28_0.34_6.10e+00_7.32e-04_6.0__55			0.154611		0.643333		0.683333
0.28_0.34_6.10e+00_7.32e-04_40.0__390			0.118850		0.581667		0.623333
0.28_0.34_6.10e+00_7.32e-04_35.0__347			0.126506		0.616667		0.618333
0.28_0.34_6.10e+00_7.32e-04_6.0__59			0.127953		0.666667		0.678333
0.28_0.34_6.10e+00_7.32e-04_36.0__359			0.134139		0.601667		0.611667
0.28_0.34_6.10e+00_7.32e-04_32.0__312			0.132395		0.593333		0.571667
0.28_0.34_6.10e+00_7.32e-04_22.0__216			0.129381		0.563333		0.581667
0.28_0.34_6.10e+00_7.32e-04_22.0__214			0.149370		0.560000		0.593333
0.28_0.34_6.10e+00_7.32e-04_46.0__455			0.154733		0.616667		0.656667
0.28_0.34_6.10e+00_7.32e-04_21.0__207			0.125781		0.603333		0.605000
0.28_0.34_6.10e+00_7.32e-04_33.0__321			0.130796		0.626667		0.643333
0.28_0.34_6.10e+00_7.32e-04_58.0__572			0.134555		0.591667		0.570000
0.28_0.34_6.10e+00_7.32e-04_33.0__320			0.119210		0.581667		0.623333
0.28_0.34_6.10e+00_7.32e-04_52.0__517			0.127236		0.633333		0.646667
0.28_0.34_6.10e+00_7.32e-04_2.0__16			0.153245		0.545000		0.563333
0.28_0.34_6.10e+00_7.32e-04_59.0__583			0.118408		0.645000		0.626667
0.28_0.34_6.10e+00_7.32e-04_47.0__469			0.134137		0.588333		0.610000
0.28_0.34_6.10e+00_7.32e-04_26.0__250			0.119961		0.586667		0.623333
0.28_0.34_6.10e+00_7.32e-04_5.0__42			0.119917		0.633333		0.583333
0.28_0.34_6.10e+00_7.32e-04_54.0__538			0.125803		0.681667		0.645000
0.28_0.34_6.10e+00_7.32e-04_56.0__553			0.116493		0.663333		0.651667
0.28_0.34_6.10e+00_7.32e-04_1.0__6			0.210815		0.540000		0.553333
0.28_0.34_6.10e+00_7.32e-04_49.0__483			0.117221		0.636667		0.618333
0.28_0.34_6.10e+00_7.32e-04_16.0__153			0.116884		0.583333		0.568333
