ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,1.0,0.6126666000000001,0.05880071197263591,0.018594417787306187,0.553333,0.73,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,2.0,0.6206667000000001,0.045434647953712395,0.014367697222163966,0.563333,0.698333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,3.0,0.6241665999999999,0.0526183615801346,0.01663938693395218,0.568333,0.716667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,4.0,0.6254999000000001,0.0542458633578021,0.017154048185292405,0.57,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,5.0,0.6306667,0.056869047756031396,0.01798357192739468,0.568333,0.731667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,6.0,0.6348332,0.05787620206536627,0.018302062084669876,0.568333,0.733333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,7.0,0.6358333,0.05968681999877921,0.018874629748863073,0.568333,0.73,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,8.0,0.6341667000000001,0.060263003310581084,0.019056834910370364,0.573333,0.725,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,9.0,0.6306667000000001,0.059794848451555124,0.018908791345150656,0.57,0.723333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,10.0,0.6298334999999999,0.05995592362588814,0.01895972778769076,0.57,0.723333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,11.0,0.6301667,0.05686468766984386,0.017982193147079953,0.57,0.713333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,12.0,0.6280001,0.05397648276271187,0.017068862561498734,0.571667,0.706667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,13.0,0.6280001000000001,0.054878225010674485,0.017354018498094953,0.57,0.706667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,14.0,0.6261665999999999,0.053960784114638845,0.017063898213089117,0.568333,0.71,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,15.0,0.6261667000000001,0.05182487640988643,0.016388464891197108,0.57,0.7,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,16.0,0.6248332000000001,0.048657550643473754,0.015386868539836859,0.568333,0.7,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,17.0,0.6263334,0.0485772140873567,0.015361463890166476,0.571667,0.696667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,18.0,0.6266667000000001,0.046884199345124125,0.014826085620396697,0.57,0.693333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,19.0,0.6241666,0.04668811147557332,0.014764077191465646,0.57,0.703333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,20.0,0.6233334000000001,0.044507010129990976,0.014074352385495821,0.568333,0.701667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,21.0,0.6196668,0.04120706939295196,0.013030819498234016,0.571667,0.686667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,22.0,0.6201666000000001,0.043499889599348994,0.013755872909981214,0.565,0.695,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,23.0,0.6198333,0.04265463647079363,0.013488580401419408,0.568333,0.688333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,24.0,0.6190000999999998,0.04318491792139681,0.013656270119903821,0.565,0.695,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,25.0,0.6200001,0.045548697316291215,0.014403762797307911,0.566667,0.7,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,26.0,0.6198332,0.04254589040292581,0.013454191875314452,0.568333,0.69,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,27.0,0.6190000999999999,0.0420038443278972,0.013282781855929961,0.57,0.696667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,28.0,0.6176666999999999,0.041664399050428395,0.013175439834151034,0.566667,0.686667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,29.0,0.6165,0.04116703553680892,0.013018159681340864,0.566667,0.691667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,30.0,0.6161666999999998,0.04152236687229873,0.013130525315758585,0.571667,0.696667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,31.0,0.6154999999999999,0.03991544303482888,0.01262237138047629,0.57,0.69,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,32.0,0.6183333,0.040207701492928544,0.012714791619780673,0.571667,0.688333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,33.0,0.6144999,0.036218241261828266,0.011453213523286813,0.571667,0.681667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,34.0,0.6183333999999999,0.03830502980955775,0.01211311400388483,0.571667,0.683333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,35.0,0.6191667000000001,0.038612139875807076,0.012210230734056138,0.573333,0.681667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,36.0,0.6193333,0.03736874742363071,0.011817035516622207,0.568333,0.676667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,37.0,0.618,0.0394703389198071,0.01248161710053805,0.568333,0.678333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,38.0,0.6166664999999999,0.03633701816253565,0.011490774077251914,0.568333,0.671667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,39.0,0.6188332,0.03592731379636155,0.011361214180809332,0.568333,0.673333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,40.0,0.6186666,0.03415478456543257,0.010800691221913118,0.568333,0.663333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,41.0,0.6184999,0.03538533437723731,0.01118982523987257,0.568333,0.668333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,42.0,0.6174999999999999,0.03649181203746647,0.011539724198514376,0.568333,0.676667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,43.0,0.6156666999999999,0.032755910974797964,0.010358328551406783,0.571667,0.66,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,44.0,0.6153333999999999,0.0372662668112121,0.01178462830149703,0.568333,0.665,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,45.0,0.6148334,0.033879366969686214,0.01071359653088852,0.568333,0.665,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,46.0,0.6191666999999998,0.036381418233457766,0.011504814612490604,0.568333,0.678333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,47.0,0.6183334,0.03309167028187675,0.01046450496700367,0.568333,0.663333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,48.0,0.6153335,0.03204746479919355,0.010134298199952227,0.568333,0.665,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,49.0,0.6173333,0.031974193684734066,0.010111127839113141,0.568333,0.66,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,50.0,0.6190000999999999,0.03448188610286727,0.010904129810356765,0.566667,0.658333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,51.0,0.6198333999999999,0.03376963388805594,0.010678895883626435,0.566667,0.658333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,52.0,0.6165002,0.030856527012755163,0.009757690604281779,0.566667,0.655,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,53.0,0.6203334999999999,0.03502909901543766,0.011077173727234468,0.565,0.671667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,54.0,0.6205,0.03437306043982699,0.010869716114048238,0.566667,0.665,10
