id			last val		val acc		test acc
0.28_0.34_6.10e+00_7.32e-04_8.0__79			0.109894		0.740000		0.753333
0.28_0.34_6.10e+00_7.32e-04_4.0__31			0.113472		0.631667		0.618333
0.28_0.34_6.10e+00_7.32e-04_18.0__173			0.117396		0.583333		0.571667
0.28_0.34_6.10e+00_7.32e-04_2.0__13			0.142353		0.618333		0.593333
0.28_0.34_6.10e+00_7.32e-04_4.0__30			0.136280		0.575000		0.608333
0.28_0.34_6.10e+00_7.32e-04_5.0__43			0.117234		0.621667		0.603333
0.28_0.34_6.10e+00_7.32e-04_16.0__151			0.115097		0.643333		0.623333
0.28_0.34_6.10e+00_7.32e-04_8.0__77			0.118540		0.701667		0.725000
0.28_0.34_6.10e+00_7.32e-04_3.0__26			0.127577		0.576667		0.588333
0.28_0.34_6.10e+00_7.32e-04_4.0__37			0.118776		0.703333		0.718333
0.28_0.34_6.10e+00_7.32e-04_5.0__45			0.141792		0.640000		0.661667
0.28_0.34_6.10e+00_7.32e-04_11.0__101			0.115456		0.635000		0.621667
0.28_0.34_6.10e+00_7.32e-04_6.0__52			0.118668		0.776667		0.745000
0.28_0.34_6.10e+00_7.32e-04_13.0__124			0.150818		0.565000		0.595000
0.28_0.34_6.10e+00_7.32e-04_11.0__108			0.116954		0.698333		0.653333
0.28_0.34_6.10e+00_7.32e-04_10.0__99			0.111706		0.726667		0.733333
0.28_0.34_6.10e+00_7.32e-04_7.0__62			0.120120		0.745000		0.711667
0.28_0.34_6.10e+00_7.32e-04_7.0__68			0.112840		0.710000		0.656667
0.28_0.34_6.10e+00_7.32e-04_7.0__63			0.118459		0.573333		0.568333
0.28_0.34_6.10e+00_7.32e-04_4.0__38			0.114724		0.695000		0.643333
0.28_0.34_6.10e+00_7.32e-04_17.0__165			0.142718		0.660000		0.696667
0.28_0.34_6.10e+00_7.32e-04_18.0__176			0.164517		0.573333		0.593333
0.28_0.34_6.10e+00_7.32e-04_6.0__57			0.117787		0.713333		0.755000
0.28_0.34_6.10e+00_7.32e-04_15.0__140			0.127475		0.590000		0.625000
0.28_0.34_6.10e+00_7.32e-04_10.0__90			0.127615		0.583333		0.621667
0.28_0.34_6.10e+00_7.32e-04_25.0__243			0.117539		0.580000		0.571667
0.28_0.34_6.10e+00_7.32e-04_4.0__36			0.148824		0.566667		0.578333
0.28_0.34_6.10e+00_7.32e-04_8.0__71			0.116262		0.630000		0.625000
0.28_0.34_6.10e+00_7.32e-04_15.0__148			0.115196		0.708333		0.643333
0.28_0.34_6.10e+00_7.32e-04_21.0__202			0.121616		0.711667		0.685000
0.28_0.34_6.10e+00_7.32e-04_6.0__59			0.109659		0.761667		0.755000
0.28_0.34_6.10e+00_7.32e-04_16.0__159			0.114396		0.745000		0.736667
0.28_0.34_6.10e+00_7.32e-04_15.0__147			0.120183		0.691667		0.695000
0.28_0.34_6.10e+00_7.32e-04_1.0__4			0.151704		0.550000		0.578333
0.28_0.34_6.10e+00_7.32e-04_6.0__51			0.115916		0.650000		0.638333
0.28_0.34_6.10e+00_7.32e-04_15.0__146			0.146484		0.585000		0.603333
0.28_0.34_6.10e+00_7.32e-04_16.0__153			0.116596		0.586667		0.570000
0.28_0.34_6.10e+00_7.32e-04_7.0__67			0.119236		0.708333		0.753333
0.28_0.34_6.10e+00_7.32e-04_13.0__126			0.143567		0.576667		0.596667
0.28_0.34_6.10e+00_7.32e-04_10.0__95			0.147426		0.640000		0.668333
0.28_0.34_6.10e+00_7.32e-04_12.0__117			0.119212		0.685000		0.730000
0.28_0.34_6.10e+00_7.32e-04_13.0__128			0.115731		0.685000		0.640000
0.28_0.34_6.10e+00_7.32e-04_1.0__1			0.109208		0.703333		0.708333
0.28_0.34_6.10e+00_7.32e-04_10.0__94			0.149728		0.563333		0.595000
0.28_0.34_6.10e+00_7.32e-04_14.0__139			0.114843		0.753333		0.738333
0.28_0.34_6.10e+00_7.32e-04_5.0__48			0.115355		0.710000		0.656667
0.28_0.34_6.10e+00_7.32e-04_26.0__251			0.123078		0.628333		0.640000
0.28_0.34_6.10e+00_7.32e-04_8.0__70			0.125646		0.583333		0.625000
0.28_0.34_6.10e+00_7.32e-04_11.0__105			0.147081		0.615000		0.658333
0.28_0.34_6.10e+00_7.32e-04_24.0__231			0.115714		0.623333		0.616667
0.28_0.34_6.10e+00_7.32e-04_19.0__189			0.113035		0.731667		0.735000
0.28_0.34_6.10e+00_7.32e-04_5.0__44			0.148814		0.561667		0.596667
0.28_0.34_6.10e+00_7.32e-04_2.0__14			0.147536		0.556667		0.588333
0.28_0.34_6.10e+00_7.32e-04_8.0__78			0.112868		0.683333		0.648333
0.28_0.34_6.10e+00_7.32e-04_21.0__204			0.151908		0.575000		0.590000
0.28_0.34_6.10e+00_7.32e-04_18.0__174			0.154734		0.573333		0.591667
0.28_0.34_6.10e+00_7.32e-04_20.0__195			0.142690		0.660000		0.695000
0.28_0.34_6.10e+00_7.32e-04_12.0__115			0.144435		0.628333		0.666667
0.28_0.34_6.10e+00_7.32e-04_16.0__156			0.147328		0.578333		0.600000
0.28_0.34_6.10e+00_7.32e-04_7.0__65			0.154001		0.631667		0.671667
0.28_0.34_6.10e+00_7.32e-04_7.0__60			0.128185		0.578333		0.621667
0.28_0.34_6.10e+00_7.32e-04_3.0__25			0.146013		0.656667		0.665000
0.28_0.34_6.10e+00_7.32e-04_15.0__144			0.156172		0.578333		0.591667
0.28_0.34_6.10e+00_7.32e-04_6.0__56			0.130705		0.573333		0.590000
0.28_0.34_6.10e+00_7.32e-04_23.0__223			0.121647		0.588333		0.576667
0.28_0.34_6.10e+00_7.32e-04_3.0__23			0.127594		0.603333		0.590000
0.28_0.34_6.10e+00_7.32e-04_9.0__85			0.148709		0.635000		0.658333
0.28_0.34_6.10e+00_7.32e-04_6.0__53			0.119976		0.575000		0.565000
0.28_0.34_6.10e+00_7.32e-04_17.0__168			0.115070		0.701667		0.651667
