run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy
27,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,3.0,0.788333
39,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,4.0,0.765
69,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,7.0,0.756667
179,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,18.0,0.756667
57,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,6.0,0.755
59,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,6.0,0.755
79,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,8.0,0.753333
67,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,7.0,0.753333
47,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,5.0,0.751667
49,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,5.0,0.75
199,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,20.0,0.748333
167,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,17.0,0.748333
19,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,2.0,0.746667
52,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,6.0,0.745
97,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,10.0,0.743333
219,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,22.0,0.743333
129,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,13.0,0.743333
29,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,3.0,0.741667
87,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,9.0,0.74
169,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,17.0,0.74
139,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,14.0,0.738333
149,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,15.0,0.736667
119,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,12.0,0.736667
