ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,1.0,0.6318333999999999,0.056614650200966274,0.01790312435687629,0.563333,0.708333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,2.0,0.6573333,0.06000109402345182,0.018974011921602415,0.586667,0.746667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,3.0,0.6603333000000001,0.06968978191807522,0.022037844050153552,0.588333,0.788333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,4.0,0.6471666,0.06502164558941553,0.020561649727479456,0.578333,0.765,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,5.0,0.6575001,0.06205462398645244,0.01962339511425074,0.586667,0.751667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,6.0,0.6573334000000001,0.07136755254035275,0.022568401705925056,0.565,0.755,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,7.0,0.6535000000000001,0.06886418105388478,0.02177676613324904,0.568333,0.756667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,8.0,0.6476665,0.06239667013951947,0.019731559605109777,0.568333,0.753333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,9.0,0.6466666000000001,0.06203339602396975,0.01961668224309775,0.568333,0.74,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,10.0,0.6506665,0.06412363925391847,0.020277675190136252,0.563333,0.743333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,11.0,0.643,0.05291969691061271,0.016734677532331217,0.568333,0.726667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,12.0,0.6476666,0.05849567484334018,0.01849795657735681,0.57,0.736667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,13.0,0.6491665999999999,0.057430787115545556,0.01816120951013757,0.575,0.743333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,14.0,0.6519999999999999,0.05777661323676833,0.018270569331882116,0.576667,0.738333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,15.0,0.6505000000000001,0.055221675607399746,0.01746262711303453,0.568333,0.736667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,16.0,0.6446666999999999,0.052356835016070254,0.01655668497284405,0.57,0.736667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,17.0,0.6540001,0.061579917762656644,0.019473279825585506,0.57,0.748333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,18.0,0.6473334,0.056081965148640486,0.01773467455278874,0.571667,0.756667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,19.0,0.6456666999999999,0.05844277099493708,0.018481226911562607,0.57,0.735,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,20.0,0.6471666999999999,0.05666688093694784,0.017919641165833156,0.568333,0.748333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,21.0,0.6426665,0.0534615957700271,0.0169060409980509,0.568333,0.723333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,22.0,0.6465001,0.05692440330326993,0.01800107688843456,0.575,0.743333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,23.0,0.6398332999999999,0.05237230431577782,0.01656157679493242,0.57,0.708333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,24.0,0.6272222222222222,0.05084694080221981,0.016948980267406603,0.57,0.708333,9
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,25.0,0.6413333,0.05384473082040825,0.01702719893911568,0.571667,0.731667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,26.0,0.6381667,0.046510563118141966,0.01470793147103517,0.571667,0.701667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,27.0,0.6401665999999999,0.05291758581920885,0.016734009946612716,0.571667,0.728333,10
